ifd0_make#ifd0_model#ifds_ExposureProgram#Count
1#1##1425
1#2##1984
4#3729#Normal program#28
4#3729#Portrait mode#2
4#3733#Landscape mode#1
4#3733#Normal program#6
4#3735#Landscape mode#2
4#3735#Normal program#41
4#3735#Portrait mode#1
4#3746#Normal program#1
4#3770#Normal program#1
4#3775#Landscape mode#1
4#3775#Normal program#1
4#3840#Normal program#5
4#3849#Normal program#2
4#3866#Normal program#9
4#3887#Normal program#1
4#3915#Normal program#13
4#3930#Normal program#1
4#3948#Landscape mode#1
4#3948#Normal program#2
4#3964#Normal program#1
4#4000#Aperture priority#1
4#4000#Landscape mode#6
4#4000#Manual#1
4#4000#Normal program#14
4#4029##1
4#4055#Normal program#3
4#4057#Normal program#2
4#4063#Aperture priority#1
4#4063#Manual#1
4#4063#Normal program#1
4#4066#Normal program#1
4#4104##1
4#4106#Normal program#1
4#4113#Normal program#2
4#4126#Normal program#17
4#4128#Creative program (depth of fi#8
4#4128#Landscape mode#3
4#4128#Normal program#6
4#4140#Normal program#15
4#4151#Normal program#1
4#4156#Landscape mode#1
4#4163##13
4#4179#Normal program#31
4#4185#Normal program#1
4#4190#Creative program (depth of fi#1
4#4215#Landscape mode#1
4#4268##9
4#4282#Normal program#1
4#4290#Normal program#1
4#4300#Normal program#1
4#4313#Shutter priority#1
5#7##1
5#7#Normal program#805
5#25##171
5#25#Aperture priority#3045
5#25#Normal program#12
5#26##4
5#26#Normal program#1854
5#38#Aperture priority#3
5#39#Aperture priority#348
5#59#Aperture priority#25
5#77##5
5#77#Normal program#374
5#91#Aperture priority#20
5#105#Aperture priority#25
5#112##100
5#112#Aperture priority#2163
5#134#Normal program#386
5#135#Aperture priority#186
5#155#Landscape mode#1
5#155#Normal program#50
5#160#Creative program (depth of fi#8
5#160#Normal program#348
5#178#Normal program#72
5#216##72
5#216#Aperture priority#1714
5#216#Normal program#37
5#221##3
5#221#Normal program#803
5#223##32
5#223#Not defined#325
5#225#Aperture priority#59
5#225#Normal program#9
5#256#Normal program#54
5#270##116
5#270#Normal program#2842
5#273##6
5#273#Aperture priority#718
5#301#Aperture priority#407
5#301#Normal program#16
5#302##165
5#302#Aperture priority#565
5#311#Normal program#43
5#317##83
5#317#Aperture priority#7538
5#344#Aperture priority#6
5#345##1
5#345#Aperture priority#24
5#346##1
5#346#Aperture priority#65
5#347##1
5#347#Aperture priority#55
5#348#Aperture priority#176
5#353#Normal program#181
5#377##1
5#377#Aperture priority#201
5#388##1
5#388#Aperture priority#46
5#403##45
5#403#Aperture priority#1
5#443#Normal program#6
5#466#Aperture priority#167
5#509##1
5#509#Normal program#6
5#511##12
5#511#Normal program#258
5#541##6
5#541#Normal program#312
5#593##44
5#603##1
5#603#Aperture priority#299
5#623##1
5#623#Aperture priority#340
5#648##254
5#653##17
5#653#Aperture priority#35
5#653#Normal program#319
5#653#Shutter priority#2
5#670#Landscape mode#2
5#670#Normal program#148
5#671##162
5#671#Aperture priority#735
5#672##36
5#672#Aperture priority#46
5#673#Normal program#150
5#701##8
5#701#Normal program#39
5#703##18
5#703#Aperture priority#5
5#703#Manual#9
5#703#Normal program#813
5#703#Not defined#11
5#703#Shutter priority#2
5#740##1
5#740#Aperture priority#183
5#744#Normal program#2
5#746#Aperture priority#71
5#747##2
5#747#Aperture priority#21
5#747#Landscape mode#154
5#747#Manual#28
5#747#Normal program#787
5#747#Not defined#18
5#747#Shutter priority#3
5#787#Aperture priority#66
5#866#Aperture priority#96
5#887##16
5#887#Aperture priority#923
5#954##2
5#963#Aperture priority#58
5#967#Aperture priority#266
5#967#Landscape mode#2
5#967#Manual#31
5#967#Normal program#361
5#967#Portrait mode#2
5#967#Shutter priority#41
5#972#Aperture priority#8
5#980##1
5#980#Aperture priority#34
5#981#Aperture priority#9
5#1018#Aperture priority#345
5#1064#Manual#2
5#1064#Normal program#2
5#1173##191
5#1180##17
5#1181#Landscape mode#1
5#1181#Normal program#281
5#1181#Portrait mode#4
5#1245##13
5#1267##51
5#1309##22
5#1371#Aperture priority#14
5#1372#Aperture priority#6
5#1373#Aperture priority#6
5#1456#Normal program#8
5#1492#Aperture priority#43
5#1511#Aperture priority#9
5#1511#Normal program#203
5#1512#Normal program#78
5#1552#Normal program#27
5#1576#Normal program#9
5#1578#Aperture priority#111
5#1584#Aperture priority#161
5#1604##10
5#1604#Aperture priority#169
5#1606#Aperture priority#81
5#1615#Normal program#18
5#1645#Aperture priority#37
5#1649#Normal program#11
5#1650#Normal program#200
5#1674##23
5#1674#Aperture priority#138
5#1731#Normal program#9
5#1741##2
5#1741#Aperture priority#15
5#1743##1
5#1743#Aperture priority#16
5#1749#Normal program#22
5#1754#Aperture priority#11
5#1754#Normal program#5
5#1761#Normal program#301
5#1773##6
5#1791#Manual#4
5#1791#Normal program#34
5#1792#Aperture priority#4
5#1792#Landscape mode#25
5#1792#Manual#22
5#1792#Normal program#313
5#1792#Not defined#6
5#1792#Shutter priority#1
5#1793#Aperture priority#52
5#1798##152
5#1798#Aperture priority#488
5#1798#Normal program#78
5#1812#Landscape mode#12
5#1812#Normal program#19
5#1826##15
5#1841#Aperture priority#8
5#1842#Not defined#36
5#1848#Normal program#7
5#1871#Aperture priority#127
5#1879##1
5#1885#Aperture priority#50
5#1890##7
5#1920#Aperture priority#39
5#1929#Aperture priority#97
5#1956#Normal program#50
5#1969#Normal program#62
5#1969#Shutter priority#2
5#1970#Aperture priority#33
5#1970#Landscape mode#11
5#1970#Manual#2
5#1970#Normal program#174
5#1970#Not defined#1
5#1971##120
5#1972#Aperture priority#12
5#1973#Aperture priority#151
5#1974#Normal program#53
5#1975#Aperture priority#69
5#1976#Normal program#11
5#1977#Normal program#21
5#1978#Normal program#55
5#1979#Aperture priority#75
5#1980##2
5#1981#Normal program#77
5#1999#Normal program#4
5#2006#Aperture priority#30
5#2017#Aperture priority#6
5#2019##39
5#2044#Normal program#518
5#2045#Normal program#300
5#2050#Normal program#29
5#2056#Aperture priority#5
5#2056#Landscape mode#2
5#2056#Manual#8
5#2056#Normal program#544
5#2073#Normal program#6
5#2082#Aperture priority#8
5#2085#Not defined#30
5#2091#Normal program#216
5#2094#Aperture priority#151
5#2105#Aperture priority#68
5#2105#Landscape mode#6
5#2105#Normal program#162
5#2127#Normal program#64
5#2140#Normal program#46
5#2154##150
5#2155##24
5#2182##9
5#2210#Aperture priority#18
5#2234#Aperture priority#96
5#2261#Normal program#407
5#2267##38
5#2267#Aperture priority#61
5#2273#Normal program#15
5#2284#Normal program#265
5#2288#Aperture priority#8
5#2319##17
5#2337#Normal program#30
5#2342#Aperture priority#4
5#2356#Aperture priority#152
5#2367#Aperture priority#6
5#2367#Creative program (depth of fi#23
5#2367#Landscape mode#4
5#2367#Manual#254
5#2367#Normal program#604
5#2373##130
5#2373#Aperture priority#75
5#2390#Normal program#41
5#2393##6
5#2393#Aperture priority#320
5#2396#Manual#4
5#2396#Normal program#12
5#2415#Normal program#108
5#2421##1
5#2421#Aperture priority#71
5#2424#Landscape mode#5
5#2424#Normal program#14
5#2434#Creative program (depth of fi#15
5#2434#Manual#1
5#2434#Normal program#60
5#2434#Portrait mode#1
5#2455#Normal program#151
5#2483#Normal program#152
5#2494#Aperture priority#150
5#2496#Normal program#83
5#2500##112
5#2502#Aperture priority#79
5#2503#Aperture priority#5
5#2505#Aperture priority#105
5#2512#Aperture priority#9
5#2520#Normal program#129
5#2521#Aperture priority#20
5#2524#Normal program#11
5#2535#Normal program#29
5#2543#Aperture priority#150
5#2550##4
5#2550#Aperture priority#1
5#2554#Normal program#111
5#2554#Portrait mode#15
5#2555#Aperture priority#36
5#2563#Aperture priority#7
5#2564#Aperture priority#30
5#2707#Normal program#28
5#2836#Normal program#42
5#2905#Normal program#12
5#3048#Normal program#4
5#3242#Normal program#102
5#3284##34
5#3284#Aperture priority#29
5#3284#Creative program (depth of fi#4
5#3284#Landscape mode#2
5#3284#Manual#39
5#3284#Normal program#182
5#3284#Shutter priority#5
5#3331#Normal program#6
5#3337#Normal program#43
5#3341#Creative program (depth of fi#1
5#3341#Landscape mode#1
5#3341#Normal program#148
5#3345#Normal program#7
5#3349#Normal program#8
5#3349#Portrait mode#1
5#3369#Normal program#1
5#3381#Normal program#26
5#3384#Normal program#29
5#3384#Portrait mode#1
5#3388#Normal program#4
5#3411#Normal program#20
5#3411#Portrait mode#2
5#3412#Aperture priority#1
5#3425#Landscape mode#1
5#3425#Normal program#22
5#3426#Normal program#8
5#3436#Normal program#2
5#3449#Manual#1
5#3449#Normal program#150
5#3462#Normal program#3
5#3470#Aperture priority#1
5#3473#Normal program#1
5#3479#Manual#1
5#3479#Normal program#3
5#3483#Landscape mode#1
5#3483#Normal program#40
5#3483#Portrait mode#1
5#3495#Normal program#65
5#3502#Normal program#15
5#3518#Landscape mode#1
5#3525#Landscape mode#11
5#3525#Normal program#161
5#3525#Portrait mode#1
5#3526#Normal program#10
5#3528#Normal program#1
5#3529#Aperture priority#3
5#3529#Normal program#149
