ifd0_make#ifd0_model#ifds_FocalLength#Count
1#1##40
1#1#5 mm#1385
4#309#105 mm#1
4#309#109 mm#7
4#309#115 mm#4
4#309#120 mm#4
4#309#124 mm#2
4#309#128 mm#4
4#309#13 mm#2
4#309#132 mm#4
4#309#136 mm#5
4#309#14 mm#1015
4#309#140 mm#1
4#309#144 mm#2
4#309#147 mm#4
4#309#15 mm#14
4#309#151 mm#1
4#309#155 mm#1
4#309#158 mm#2
4#309#16 mm#84
4#309#162 mm#7
4#309#166 mm#5
4#309#17 mm#63
4#309#171 mm#6
4#309#175 mm#2
4#309#18 mm#70
4#309#180 mm#2
4#309#184 mm#4
4#309#189 mm#3
4#309#19 mm#37
4#309#20 mm#1555
4#309#200 mm#81
4#309#21 mm#25
4#309#22 mm#32
4#309#23 mm#63
4#309#24 mm#34
4#309#25 mm#36
4#309#26 mm#44
4#309#28 mm#35
4#309#286 mm#1
4#309#29 mm#38
4#309#30 mm#21
4#309#300 mm#4
4#309#31 mm#28
4#309#33 mm#26
4#309#34 mm#21
4#309#35 mm#13
4#309#36 mm#19
4#309#37 mm#23
4#309#38 mm#8
4#309#39 mm#13
4#309#40 mm#19
4#309#41 mm#5
4#309#42 mm#80
4#309#43 mm#12
4#309#45 mm#294
4#309#51 mm#7
4#309#56 mm#18
4#309#61 mm#15
4#309#67 mm#10
4#309#7 mm#12
4#309#72 mm#5
4#309#78 mm#11
4#309#8 mm#2
4#309#84 mm#11
4#309#9 mm#23
4#309#91 mm#7
4#309#97 mm#5
4#310##53
4#310#10 mm#183
4#310#11 mm#71
4#310#12 mm#84
4#310#13 mm#46
4#310#14 mm#68
4#310#15 mm#58
4#310#16 mm#61
4#310#17 mm#51
4#310#18 mm#70
4#310#20 mm#54
4#310#21 mm#35
4#310#23 mm#58
4#310#24 mm#62
4#310#26 mm#36
4#310#28 mm#57
4#310#30 mm#53
4#310#32 mm#28
4#310#34 mm#32
4#310#37 mm#19
4#310#4 mm#2316
4#310#40 mm#24
4#310#43 mm#36
4#310#46 mm#47
4#310#49 mm#235
4#310#5 mm#207
4#310#6 mm#122
4#310#7 mm#250
4#310#8 mm#71
4#310#9 mm#192
4#327#10 mm#18
4#327#11 mm#8
4#327#12 mm#6
4#327#13 mm#5
4#327#14 mm#3
4#327#15 mm#1
4#327#16 mm#3
4#327#17 mm#6
4#327#6 mm#216
4#327#7 mm#7
4#327#8 mm#12
4#327#9 mm#3
4#328#10 mm#1
4#328#17 mm#1
4#328#6 mm#81
4#328#7 mm#2
4#328#8 mm#1
4#334##1
4#334#10 mm#15
4#334#11 mm#13
4#334#12 mm#10
4#334#13 mm#31
4#334#14 mm#7
4#334#15 mm#15
4#334#16 mm#14
4#334#17 mm#4
4#334#18 mm#14
4#334#19 mm#11
4#334#21 mm#6
4#334#22 mm#4
4#334#23 mm#12
4#334#24 mm#4
4#334#26 mm#6
4#334#28 mm#10
4#334#31 mm#12
4#334#33 mm#8
4#334#36 mm#8
4#334#38 mm#4
4#334#4 mm#335
4#334#41 mm#8
4#334#44 mm#6
4#334#47 mm#7
4#334#5 mm#35
4#334#52 mm#4
4#334#56 mm#6
4#334#6 mm#14
4#334#60 mm#5
4#334#63 mm#6
4#334#65 mm#1
4#334#69 mm#5
4#334#7 mm#25
4#334#73 mm#9
4#334#77 mm#6
4#334#8 mm#7
4#334#82 mm#5
4#334#86 mm#38
4#334#9 mm#16
4#376#10 mm#26
4#376#11 mm#12
4#376#12 mm#5
4#376#13 mm#10
4#376#14 mm#7
4#376#16 mm#9
4#376#17 mm#49
4#376#5 mm#629
4#376#6 mm#43
4#376#7 mm#25
4#376#8 mm#40
4#376#9 mm#16
4#387#10 mm#4
4#387#11 mm#3
4#387#12 mm#5
4#387#13 mm#6
4#387#14 mm#2
4#387#15 mm#6
4#387#16 mm#8
4#387#18 mm#36
4#387#5 mm#310
4#387#6 mm#19
4#387#7 mm#9
4#387#8 mm#21
4#387#9 mm#5
4#399#21 mm#1
4#399#5 mm#1
4#400##18
4#400#10 mm#30
4#400#11 mm#15
4#400#12 mm#12
4#400#13 mm#8
4#400#14 mm#4
4#400#15 mm#2
4#400#16 mm#6
4#400#17 mm#6
4#400#18 mm#3
4#400#20 mm#1
4#400#21 mm#5
4#400#23 mm#5
4#400#24 mm#6
4#400#26 mm#4
4#400#28 mm#7
4#400#30 mm#5
4#400#32 mm#4
4#400#34 mm#5
4#400#37 mm#1
4#400#4 mm#464
4#400#40 mm#5
4#400#43 mm#7
4#400#46 mm#7
4#400#49 mm#26
4#400#5 mm#49
4#400#6 mm#23
4#400#7 mm#42
4#400#8 mm#26
4#400#9 mm#33
4#407#100 mm#5
4#407#103 mm#1
