ifd0_make#ifd0_model#ifds_SubjectLocation1#Count
1#1##1425
1#2##2030
1#169##7
1#1339##121
1#1998##16
1#2318##150
2#3##9
3#4##2901
3#4#1223, 1220, 1791, 1077#3
3#4#1223, 1222, 1796, 1074#1
3#4#1223, 1223, 1795, 1077#153
3#4#1223, 1224, 1782, 1069#1
3#4#1224, 1222, 1632, 976#15
3#4#1225, 1223, 1794, 1077#2
3#4#1225, 1225, 1794, 1077#1
3#4#1226, 1091, 609, 612#1
3#4#1226, 1220, 1796, 1077#2
3#4#1226, 1223, 1796, 1077#2
3#4#1226, 1224, 1796, 1079#2
3#4#1227, 1219, 1799, 1074#1
3#4#1227, 1223, 1799, 1077#3
3#4#1231, 1055, 610, 612#1
3#4#1231, 1353, 610, 612#1
3#4#1235, 1246, 610, 612#1
3#4#1236, 993, 254, 254#1
3#4#1238, 1143, 610, 612#1
3#4#1241, 1250, 610, 612#1
3#4#1241, 1280, 610, 612#2
3#4#1241, 1407, 610, 612#1
3#4#1241, 1539, 610, 612#1
3#4#1241, 927, 610, 612#1
3#4#1242, 909, 359, 270#1
3#4#1245, 1057, 610, 612#2
3#4#1245, 1236, 610, 612#1
3#4#1245, 641, 610, 612#1
3#4#1248, 1118, 610, 612#1
3#4#1248, 1160, 610, 612#1
3#4#1248, 1409, 662, 660#1
3#4#1248, 1657, 610, 612#1
3#4#1249, 780, 541, 538#1
3#4#1251, 1461, 610, 612#1
3#4#1252, 812, 607, 607#1
3#4#1254, 1346, 610, 612#2
3#4#1254, 1370, 610, 612#1
3#4#1254, 1694, 610, 612#1
3#4#1255, 1142, 339, 337#1
3#4#1256, 1069, 609, 612#1
3#4#1258, 1177, 610, 612#1
3#4#1258, 1343, 610, 612#1
3#4#1258, 1463, 610, 612#1
3#4#1258, 1537, 610, 612#1
3#4#1258, 706, 359, 270#1
3#4#1261, 1182, 610, 612#1
3#4#1261, 1204, 610, 612#1
3#4#1261, 1422, 610, 612#1
3#4#1261, 1476, 610, 612#1
3#4#1261, 1623, 610, 612#1
3#4#1261, 847, 610, 612#1
3#4#1263, 1676, 609, 612#1
3#4#1264, 1096, 486, 484#1
3#4#1264, 1162, 604, 612#1
3#4#1267, 1167, 610, 612#1
3#4#1267, 1224, 610, 612#1
3#4#1271, 1204, 610, 612#1
3#4#1271, 1444, 610, 612#1
3#4#1274, 1539, 610, 612#1
3#4#1275, 1390, 609, 612#1
3#4#1277, 1001, 610, 612#1
3#4#1277, 1192, 610, 612#1
3#4#1277, 768, 610, 612#1
3#4#1279, 929, 176, 293#2
3#4#1280, 1199, 610, 612#1
3#4#1280, 1309, 610, 612#1
3#4#1283, 659, 427, 425#1
3#4#1284, 1346, 610, 612#1
3#4#1287, 1263, 610, 612#1
3#4#1290, 1006, 610, 612#1
3#4#1290, 1444, 610, 612#1
3#4#1290, 1755, 610, 612#1
3#4#1290, 993, 609, 612#1
3#4#1293, 1375, 264, 264#2
3#4#1297, 886, 610, 612#1
3#4#1298, 1122, 763, 763#1
3#4#1298, 1991, 620, 621#1
3#4#1300, 1042, 610, 612#1
3#4#1300, 1045, 610, 612#1
3#4#1300, 1226, 610, 612#1
3#4#1300, 1270, 610, 612#1
3#4#1300, 1302, 610, 612#1
3#4#1300, 986, 323, 325#1
3#4#1303, 949, 610, 612#1
3#4#1305, 1292, 609, 612#1
3#4#1308, 1338, 254, 254#1
3#4#1310, 1052, 610, 612#1
3#4#1310, 1277, 610, 612#1
3#4#1310, 1858, 610, 612#1
3#4#1310, 876, 610, 612#1
3#4#1311, 1415, 241, 242#1
3#4#1313, 1309, 610, 612#1
