ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
4#985#6 = Row 0: right, Col 0: top#76
4#988#1 = Row 0: top, Col 0: left#135
4#988#6 = Row 0: right, Col 0: top#16
4#998##5
4#998#1 = Row 0: top, Col 0: left#536
4#998#6 = Row 0: right, Col 0: top#33
4#998#8 = Row 0: left, Col 0: botto#19
4#999#1 = Row 0: top, Col 0: left#175
4#999#6 = Row 0: right, Col 0: top#6
4#1007##2
4#1007#1 = Row 0: top, Col 0: left#78
4#1013##7
4#1013#1 = Row 0: top, Col 0: left#19
4#1019##34
4#1019#1 = Row 0: top, Col 0: left#379
4#1030#1 = Row 0: top, Col 0: left#312
4#1030#6 = Row 0: right, Col 0: top#79
4#1030#8 = Row 0: left, Col 0: botto#7
4#1044##31
4#1044#0#1
4#1044#1 = Row 0: top, Col 0: left#377
4#1044#6 = Row 0: right, Col 0: top#17
4#1044#8 = Row 0: left, Col 0: botto#1
4#1060##90
4#1060#1 = Row 0: top, Col 0: left#871
4#1060#6 = Row 0: right, Col 0: top#12
4#1060#8 = Row 0: left, Col 0: botto#19
4#1066##183
4#1066#1 = Row 0: top, Col 0: left#1604
4#1066#3 = Row 0: bottom, Col 0: rig#3
4#1066#6 = Row 0: right, Col 0: top#240
4#1066#8 = Row 0: left, Col 0: botto#61
4#1086#1 = Row 0: top, Col 0: left#119
4#1086#6 = Row 0: right, Col 0: top#6
4#1113#1 = Row 0: top, Col 0: left#219
4#1113#6 = Row 0: right, Col 0: top#23
4#1114#1 = Row 0: top, Col 0: left#39
4#1114#6 = Row 0: right, Col 0: top#2
4#1114#8 = Row 0: left, Col 0: botto#1
4#1117##49
4#1117#1 = Row 0: top, Col 0: left#600
4#1117#8 = Row 0: left, Col 0: botto#1
4#1141#1 = Row 0: top, Col 0: left#131
4#1141#6 = Row 0: right, Col 0: top#16
4#1172##1
4#1172#1 = Row 0: top, Col 0: left#95
4#1196##1
4#1196#1 = Row 0: top, Col 0: left#596
4#1196#6 = Row 0: right, Col 0: top#44
4#1196#8 = Row 0: left, Col 0: botto#5
4#1260##32
4#1260#0#1
4#1260#1 = Row 0: top, Col 0: left#574
4#1260#6 = Row 0: right, Col 0: top#21
4#1260#8 = Row 0: left, Col 0: botto#12
4#1264##3
4#1264#1 = Row 0: top, Col 0: left#111
4#1264#6 = Row 0: right, Col 0: top#4
4#1264#8 = Row 0: left, Col 0: botto#3
4#1266##20
4#1266#1 = Row 0: top, Col 0: left#362
4#1266#6 = Row 0: right, Col 0: top#7
4#1266#8 = Row 0: left, Col 0: botto#4
4#1295##4
4#1295#1 = Row 0: top, Col 0: left#269
