ifds_FocalPlaneXResolution ,Count
4984000/283, 1
4992000/1419, 75
4993920/169, 11
4993920/214, 1
4998400/225, 8
5000000/173, 6
5000000/293, 1
5008000/1420, 129
5010/1, 377
5016000/241, 10
5016000/287, 1
5016000/292, 3
5017/1, 862
5027/1, 11
5030/1, 1
5037037/244, 4
5037037/291, 5
5040/1, 21
5040127/207, 1
5040127/208, 7
5040127/278, 1
5041000/188, 1
5041000/224, 8
5041229/175, 1
5041229/208, 9
5041229/224, 2
5041231/208, 1
5041231/224, 1
5041568/224, 3
5041568/280, 33
5062500/243, 5
5062500/244, 1
5062500/291, 2
5064/1, 1
5076/1, 12
5077/1, 351
5100000/225, 1
5103/1, 1
5120000/175, 1
5120000/208, 54
5128/1, 1
5134222/226, 5
5134222/241, 215
5134222/287, 11
5134222/292, 16
5180160/241, 17
5180160/287, 7
5182/1, 4
5183/1, 2
51837/10, 3
5184000/225, 2
5184000/283, 3
5184000/894, 71
5184000/905, 12504
5184000/907, 6560
5188/1, 1
5202000/225, 65
5202000/286, 14
5202815/347, 1
5222400/225, 8
5248800/225, 11
5248800/283, 13
5263/1, 501
5287680/225, 104
5287680/286, 2
5292/1, 424
5298/1, 97
5307/1, 1
531543624/100000, 1
5325600/168, 1
5341091/242, 1
5376/1, 1796
5387/1, 1
5400000/243, 1
5405/1, 1
5415385/225, 1
5417/1, 1
5472000/1436, 12
5500000/293, 2
5529600/168, 1
5529600/169, 1
5589000/292, 6
560755/159, 1
5616000/1419, 110
5616000/1459, 6406
5626/1, 1
5632/1, 1
5642667/219, 1
5642667/292, 17
5646/1, 68
5678/1, 1
5679/1, 1
5679999/224, 5
5679999/280, 6
56800/7, 1
5680000/224, 4
568066048/262144, 1
5700000/287, 2
5700000/292, 3
5712/1, 402
5714/1, 2013
571554576/100000, 1
576000/149, 34
5760000/1461, 31
5760000/243, 5
578589/26, 1
5793599/347, 2
5797/1, 11
5812/1, 2
5816319/224, 1
5820631/242, 4
5846/1, 1
5849/1, 2
5859375/219, 1
5882/1, 1
588274/61, 1
5888/1, 2
5898239/284, 1
5898240/224, 5
5898240/225, 66
5898240/284, 13
5952/1, 393
5975/1, 5
600000/91, 1
6029/1, 2
6049199/210, 2
6049200/168, 1
6063158/241, 3
6063158/244, 1
608000/79, 1
61061/32, 1
6129/1, 4808
6144000/156, 1
6144000/169, 1
6144000/225, 1
6144000/284, 11
6172839/243, 11
6172839/244, 118
6172839/291, 14
6176/1, 1
6195200/225, 20
6204308/224, 4
6204831/224, 4
6204831/280, 15
6215/1, 1
6220/1, 61
6220800/224, 2
6220800/225, 9
6220800/284, 4
6238080/215, 2
6242400/169, 1
6248000/225, 4
6267/1, 3
62871/11, 8
630/1, 86
6312/1, 2
635/1, 114
6361/1, 9
6375000/244, 32
6375000/291, 13
640000/-2147483648, 1
640000/113, 1
640000/127, 1
640000/175, 4
640000/176, 8
640000/179, 13
640000/188, 14
640000/194, 8
640000/206, 52
640000/207, 5
640000/208, 130
640000/210, 13
640000/224, 71
640000/225, 324
640000/226, 9
640000/229, 10
640000/241, 89
640000/242, 6
640000/243, 17
640000/244, 43
640000/252, 1
640000/278, 7
640000/280, 40
640000/283, 45
640000/284, 38
640000/286, 23
640000/287, 7
640000/291, 6
640000/292, 14
640000/304, 1
640000/347, 2
640000/81, 1
6400000/173, 17
6400000/206, 3
6400000/224, 2
6400000/225, 18
6400000/241, 9
6400000/284, 13
6400000/286, 2
6400000/287, 2
6400000/291, 4
6400000/292, 5
6400000/293, 1
6420480/241, 6
6420480/287, 1
6420480/292, 3
6423/1, 2
6451/1, 46
6452/1, 9
6475200/241, 10
6475200/287, 3
6475200/292, 2
6480000/243, 1
6480000/244, 5
6480000/283, 7
6480000/291, 1
6494/1, 1138
6498000/226, 8
6498000/241, 66
6498000/287, 14
6498000/292, 15
6528000/225, 15
6536169/284, 1
6553600/175, 1
6553600/179, 1
6553600/207, 19
6553600/208, 75
6553600/224, 7
6553600/278, 1
6560351/283, 5
6561000/225, 6
6561000/283, 2
660000/169, 1
6609600/225, 5
6609600/286, 1
6652/1, 2998
6658560/225, 104
6658560/286, 14
6663/1, 1
6666/1, 1
669/656, 23
680212/100, 2
6893/1, 1
6912000/169, 2
6912000/213, 1
6942/1, 73
6975668/6975672, 28
6992/1, 1704
7040000/244, 1
7091/1, 127
7100800/224, 1
7109/1, 8
7110/1, 2
7153/1, 2
7153920/292, 2
7166/1, 567
7200000/243, 2
720247/162, 2
7235/1, 2
7240864/347, 12
7329/1, 5
734363/33, 1
7372800/224, 4
7372800/225, 39
7372800/284, 8
7416/1, 1
7443/1, 65
7463/1, 273
7464960/229, 4
7491/1, 164
7498/1, 7
7520/1, 1
7523555/292, 30
7537/1, 1
7540364/242, 6
7567/1, 1
758518/225, 2
760984/100, 1
7646/1, 1
7672/1, 1
7674/1, 2
768000/131, 19
768000/135, 1
768000/141, 6
768000/155, 38
768000/156, 60
768000/158, 130
768000/168, 41
768000/209, 2
768000/210, 199
768000/212, 2
768000/61, 5
7680000/241, 4
7680000/244, 2
7692/1, 1
7744000/225, 10
7750/1, 1
7776/1, 1
7776000/169, 2
7776000/225, 7
7776000/284, 7
