ifdg_GPSLatitude ,Count
1 deg 17 3.530, 2
1 deg 17 3.600, 4
1 deg 17 3.636, 2
1 deg 17 3.640, 1
1 deg 17 3.800, 2
1 deg 17 3.940, 1
1 deg 17 30.000, 4
1 deg 17 30.155, 1
1 deg 17 30.538, 2
1 deg 17 30.600, 2
1 deg 17 30.656, 1
1 deg 17 32.142, 1
1 deg 17 32.477, 1
1 deg 17 33.000, 1
1 deg 17 33.600, 3
1 deg 17 33.810, 1
1 deg 17 34.130, 1
1 deg 17 34.200, 3
1 deg 17 34.250, 1
1 deg 17 34.635, 2
1 deg 17 34.799, 2
1 deg 17 35.267, 1
1 deg 17 35.560, 1
1 deg 17 35.580, 1
1 deg 17 35.920, 1
1 deg 17 36.000, 1
1 deg 17 36.022, 1
1 deg 17 36.600, 3
1 deg 17 37.010, 5
1 deg 17 37.030, 1
1 deg 17 37.180, 1
1 deg 17 37.190, 2
1 deg 17 37.200, 6
1 deg 17 37.207, 2
1 deg 17 37.320, 1
1 deg 17 37.416, 1
1 deg 17 37.650, 1
1 deg 17 37.800, 5
1 deg 17 38.400, 12
1 deg 17 39.000, 9
1 deg 17 39.600, 8
1 deg 17 4.200, 6
1 deg 17 4.410, 1
1 deg 17 4.570, 1
1 deg 17 4.750, 1
1 deg 17 4.800, 2
1 deg 17 4.830, 1
1 deg 17 4.850, 1
1 deg 17 4.880, 1
1 deg 17 4.930, 1
1 deg 17 40.200, 3
1 deg 17 40.490, 1
1 deg 17 40.650, 1
1 deg 17 40.790, 1
1 deg 17 40.800, 4
1 deg 17 40.810, 1
1 deg 17 40.880, 1
1 deg 17 40.930, 1
1 deg 17 41.400, 4
1 deg 17 42.000, 3
1 deg 17 42.220, 1
1 deg 17 42.600, 1
1 deg 17 44.400, 1
1 deg 17 44.690, 1
1 deg 17 45.000, 2
1 deg 17 45.130, 1
1 deg 17 45.460, 1
1 deg 17 45.620, 1
1 deg 17 45.698, 1
1 deg 17 46.000, 1
1 deg 17 46.200, 1
1 deg 17 46.220, 1
1 deg 17 46.750, 1
1 deg 17 46.800, 3
1 deg 17 47.660, 1
1 deg 17 47.830, 1
1 deg 17 47.860, 2
1 deg 17 47.990, 2
1 deg 17 48.000, 1
1 deg 17 48.320, 1
1 deg 17 48.500, 1
1 deg 17 48.600, 2
1 deg 17 49.200, 1
1 deg 17 49.440, 1
1 deg 17 49.520, 1
1 deg 17 5.128, 1
1 deg 17 5.180, 1
1 deg 17 5.270, 1
1 deg 17 5.620, 1
1 deg 17 5.790, 1
1 deg 17 5.850, 1
1 deg 17 50.400, 1
1 deg 17 50.730, 1
1 deg 17 52.700, 2
1 deg 17 52.800, 1
1 deg 17 53.526, 1
1 deg 17 54.000, 3
1 deg 17 54.600, 9
1 deg 17 54.650, 1
1 deg 17 54.740, 2
1 deg 17 55.110, 1
1 deg 17 55.140, 1
1 deg 17 55.190, 1
1 deg 17 55.200, 21
