ifdg_GPSDestBearing ,Count
14951/165, 1
149556/1043, 1
149584/693, 1
14963/113, 1
14970/77, 1
149737/1315, 1
14977/868, 1
14979/524, 1
149821/788, 1
149833/474, 1
149839/958, 1
15011/104, 1
15019/218, 1
15020/77, 1
15041/542, 1
15053/53, 1
15055/73, 3
15063/53, 1
1509/101, 1
15091/51, 1
15095/172, 1
150950/427, 1
15099/250, 1
15101/42, 1
151109/493, 1
15113/148, 1
151147/621, 1
15119/116, 1
15119/210, 1
15121/226, 1
15130/449, 1
15134/375, 1
15134/51, 1
15137/893, 1
15139/310, 1
15142/103, 1
15143/1460, 1
15143/166, 1
151517/449, 1
15181/168, 1
151855/443, 1
15187/319, 1
151901/429, 1
152023/891, 1
15207/44, 1
15210/281, 1
15211/360, 1
15217/131, 1
15218/367, 1
15218/71, 1
15223/730, 1
15239/146, 1
15250/100, 1
15250/49, 1
15261/356, 1
15275/3782, 1
15277/250, 1
15289/76, 1
15292/205, 1
15295/208, 1
15301/543, 1
15305/59, 1
15309/80, 1
153155/889, 1
15319/175, 1
15331/1630, 1
15338/471, 1
153481/555, 1
15349/343, 1
15360/47, 1
15361/115, 1
15361/608, 1
15373/190, 1
15375/251, 1
15381/139, 1
15381/793, 1
153820/553, 1
153881/744, 2
153899/668, 1
15401/315, 1
154033/1093, 1
15407/430, 1
15408/977, 1
15409/421, 1
15412/483, 1
15412/67, 1
15421/482, 1
15431/139, 1
15445/214, 1
15448/319, 1
154511/872, 1
15460/169, 1
154649/597, 1
15473/443, 1
15482/51, 1
154837/1263, 1
15501/283, 1
15503/58, 1
15510/359, 1
15513/71, 1
15518/271, 1
15520/473, 1
15531/154, 1
155335/476, 1
155350/703, 1
15539/176, 1
15544/51, 1
15545/218, 1
15546/49, 1
15559/524, 1
15567/46, 1
15568/103, 1
155845/618, 2
15593/53, 1
155939/1163, 1
15594/569, 1
15595/789, 1
15595/79, 1
155957/493, 1
15597/281, 1
15601/621, 1
15610/757, 1
15617/44, 1
156227/524, 1
156250/1191, 1
156298/2519, 1
15653/89, 1
156598/569, 1
156654/631, 1
15667/111, 1
15667/135, 1
15668/113, 1
156809/663, 1
156850/581, 1
15715/201, 1
157207/460, 1
15721/559, 1
157272/491, 1
15728/145, 2
157297/589, 1
15730/311, 1
15739/143, 1
15739/309, 1
1575/64, 1
157543/1317, 1
15758/1669, 1
15758/251, 1
15758/999, 1
15761/1913, 1
15767/183, 1
15767/307, 1
15783/433, 1
15800/873, 1
15802/121, 1
15803/661, 1
158117/515, 1
158163/455, 1
15826/133, 1
15833/365, 1
15849/137, 1
15851/146, 1
15852/109, 1
15853/61, 1
158637/596, 1
15874/45, 2
15880/49, 1
15881/450, 1
158821/493, 1
15887/340, 1
15901/134, 1
15901/210, 1
15901/436, 1
15908/561, 1
15909/157, 1
15916/105, 1
15917/267, 1
15939/655, 1
15941/803, 1
15945/263, 1
15953/66, 1
15959/112, 1
15961/142, 1
15962/429, 1
16007/335, 1
16007/59, 1
16011/74, 1
160137/1573, 1
16018/93, 1
16019/361, 2
16023/197, 1
160274/611, 2
16028/375, 1
16031/158, 1
16033/334, 1
160427/504, 1
16049/1421, 1
16053/73, 1
1606/207, 1
16061/366, 1
16061/69, 1
16062/277, 1
16067/294, 1
16067/47, 1
1609/3225, 1
16091/65, 1
16095/256, 1
16107/92, 1
16110/47, 1
16114/387, 1
16122/655, 1
16130/61, 1
16133/94, 1
16135/166, 1
16135/351, 1
16146/1511, 1
16150/117, 1
16154/637, 1
16164/49, 1
161653/796, 1
16177/99, 1
16178/725, 1
16187/154, 1
16195/248, 1
16209/224, 1
16230/163, 1
16231/1241, 1
16232/63, 2
16238/85, 1
16241/145, 1
16244/101, 1
16244/401, 1
162511/662, 1
16254/73, 1
16257/263, 1
16262/205, 1
16269/196, 1
16277/136, 1
16278/523, 1
16279/116, 1
16283/196, 1
16288/65, 1
16303/916, 1
16308/703, 1
163197/500, 1
16328/167, 1
16331/467, 1
16335/188, 1
16338/655, 1
16352/85, 1
16357/479, 1
16363/268, 1
163681/992, 1
16370/237, 1
163882/1423, 1
163890/1043, 1
163904/609, 1
16415/323, 1
164279/484, 1
16432/67, 1
16433/97, 1
16440/101, 1
164519/1253, 1
164612/577, 1
16466/5193, 1
