ifds_FocalPlaneYResolution ,Count
8448000/215, 2
847/1, 4
8496/1, 2
8548/1, 1
862543/222, 11
8638/1, 2
864000/85, 14
8640000/181, 16
87242264/3998072, 2
87269384/3998072, 2
87281672/3998072, 4
874014/100, 1
8748000/171, 4
8748000/182, 1
880000/225, 1
8886857/182, 1
890137/25, 1
89119/46, 1
893/1, 5
8943/1, 9
8967/1, 6
9090/1, 1
9109/1, 20
9141120/219, 10
9148/1, 2
921600/169, 2
9216000/168, 11
9216000/169, 39
9216000/182, 1
9216000/213, 26
9216000/225, 2
9216000/284, 1
924/1, 17
9281/1, 2
929132/100, 1
9295887/1024, 11
9332/1, 10
9375000/182, 4
9375000/183, 10
9375000/219, 2
9380/1, 1
940816/100, 2
9412083/213, 1
9497/1, 1
950468/100, 1
960000/106, 43
960000/108, 1
960000/125, 1
960000/132, 3
960000/155, 168
960000/156, 27
960000/184, 2
960000/85, 2
960000/94, 3
960000/95, 2
9678719/168, 1
972000/168, 1
972288/212, 1
972817/314, 2
9747000/181, 14
9747000/215, 1
9747000/219, 12
9792000/169, 83
9792000/183, 5
9792000/214, 19
9792000/219, 2
9813/1, 1
982/1, 1
983039/131, 1
983039/156, 1
983040/156, 1
9835747/219, 2
9839/1, 5
984615384/100000, 1
986536/100, 1
988/1, 6
