ifdg_GPSImgDirection ,Count
106042/367, 1
106045/342, 1
106049/412, 1
10605/568, 1
10605/946, 1
10606/35, 1
10606/379, 1
106061/1886, 1
10607/51, 1
106078/587, 1
10609/43, 1
10609/523, 1
10609/93, 1
106095/467, 1
106097/2943, 1
10610/100, 1
106123/306, 1
10613/668, 1
106143/298, 1
106143/844, 1
10615/919, 1
106156/1219, 1
106161/1720, 1
106161/344, 1
10617/67, 1
106179/301, 1
106180/571, 1
106187/348, 1
106199/721, 1
10621/838, 1
106213/544, 1
106219/674, 2
10622/161, 1
106225/327, 1
10623/41, 1
106233/626, 1
10624/100, 1
10624/199, 1
106241/1098, 1
10625/100, 7
10625/428, 1
10626/199, 1
106265/359, 1
10627/1259, 1
10627/64, 1
106274/407, 1
106276/329, 1
106279/319, 1
10628/221, 1
10629/116, 1
10629/317, 1
10629/431, 1
10629/79, 1
106292/343, 1
106293/527, 1
106297/733, 1
106300/593, 1
106305/307, 1
106315/448, 1
106329/791, 1
106347/305, 1
10635/100, 1
10635/52, 1
106352/355, 1
106353/316, 1
106356/299, 1
10636/469, 1
10636/541, 2
10636/87, 1
106363/808, 2
106369/378, 1
106385/1259, 1
10639/421, 1
10640/369, 1
106416/677, 1
106424/341, 1
10643/150, 1
10643/30, 1
10643/38, 1
10643/49, 1
10643/55, 1
106431/449, 1
106437/520, 1
106439/420, 1
106439/590, 1
10644/401, 1
106443/307, 1
106455/461, 1
106457/379, 1
10646/159, 1
106477/297, 1
10648/100, 1
106489/444, 1
1065/2048, 1
10650/100, 10
106501/637, 1
106503/935, 1
10651/1258, 1
10651/310, 1
106520/1081, 1
106532/373, 1
10654/73, 1
106541/564, 1
106550/371, 1
106556/359, 1
106563/302, 1
106569/466, 2
10657/191, 1
10657/86, 1
10658/100, 1
10658/1699, 1
106585/373, 1
106592/773, 1
106594/611, 1
106599/328, 1
106604/309, 1
106610/319, 1
106613/1706, 1
106624/297, 1
106625/341, 1
106627/1879, 1
10663/107, 1
10663/153, 1
10663/171, 1
10664/107, 1
10664/1205, 1
106642/303, 1
106651/364, 1
106666/369, 1
106669/397, 1
10667/651, 1
10667/75, 1
10667/963, 1
106684/797, 1
106695/758, 1
106699/375, 1
106707/322, 1
10671/110, 1
106711/346, 1
106721/464, 1
106737/298, 1
10674/137, 1
10674/55, 1
106744/343, 1
106747/523, 1
10675/100, 9
10675/46, 1
10675/527, 1
106753/339, 1
106755/299, 1
106758/391, 1
10678/877, 1
106782/359, 1
106785/682, 1
106786/309, 1
106786/463, 1
106787/299, 1
106793/642, 2
106796/353, 1
10680/100, 1
106806/353, 1
106808/339, 1
10681/115, 1
10682/45, 1
10682/83, 1
10683/202, 1
106835/308, 1
106843/406, 1
106859/439, 1
10687/755, 1
10687/82, 1
10688/385, 1
