marker_order ,Count
1:2:3:5:4:6, 184
1:2:3:5:4:6:22, 1
1:2:3:5:4:6:4:6:7, 1
1:2:3:5:4:6:6, 26
1:2:3:5:4:6:7, 283403
1:2:3:5:4:9:6:7, 214
1:2:3:5:5:5:5:4:6:7, 13
1:2:3:5:5:5:5:4:9:6:7, 5
1:2:3:5:9:4:6, 9
1:2:3:5:9:4:6:7, 11656
1:2:3:9:11:4:5:6:7, 568
1:2:3:9:4:5:6, 29
1:2:3:9:4:5:6:6, 2
1:2:3:9:4:5:6:7, 66415
1:2:3:9:5:4:6:7, 452
1:2:4:3:5:11:6:7, 528
1:2:4:3:5:5:5:5:6:7, 3
1:2:4:3:5:6, 2
1:2:4:3:5:6:7, 3810
1:2:4:3:5:9:6:7, 8
1:2:4:5:5:5:5:3:3:6:7, 30
1:2:4:5:5:5:5:3:3:9:6:7, 880
1:2:5:3:11:4:6:7, 6
1:2:5:3:4:6, 40
1:2:5:3:4:6:6, 2
1:2:5:3:4:6:7, 79564
1:2:5:3:4:9:6, 1
1:2:5:3:4:9:6:7, 407
1:2:5:3:9:4:6:7, 362
1:2:5:4:3:6:7, 1722
1:2:5:4:9:3:6:7, 106
1:2:5:5:5:5:3:3:4:6:7, 38
1:2:5:8:3:3:4:5:5:5:5:6:7, 178
1:2:8:11:3:3:4:5:5:5:5:6:7, 3
1:2:8:11:3:4:5:9:6:7, 1602
1:2:8:11:3:5:4:6:7, 29
1:2:8:12:3:3:4:5:5:5:5:6:7, 37
1:2:8:13:13:13:3:3:3:4:5:5:5:5:6:7, 1
1:2:8:13:3:3:4:9:5:5:5:5:6:7, 57
1:2:8:19:3:5:4:6:7, 5
1:2:8:3:3:11:4:5:5:6:7, 8
1:2:8:3:3:3:4:5:5:5:5:6:7, 4
1:2:8:3:3:4:5:5:5:5:6:7, 1633
1:2:8:3:3:4:5:5:5:5:9:6:7, 109
1:2:8:3:3:4:5:5:6:7, 443
1:2:8:3:3:4:9:5:5:5:5:6:7, 516
1:2:8:3:3:5:4:6:7, 178
1:2:8:3:3:5:5:5:5:4:6:7, 424
1:2:8:3:4:5:6:7, 555
1:2:8:3:5:4:6:7, 120
1:2:8:3:9:4:5:6:7, 1
1:2:8:8:18:3:3:3:4:5:5:5:5:6:7, 16
1:2:8:8:3:3:4:5:5:5:5:6:7, 13
1:2:9:3:5:4:6:7, 2
1:3:2:12:4:5:9:6:7, 59
1:3:2:4:5:6:7, 131
1:3:2:4:5:9:6:7, 469
1:3:2:4:9:5:6:7, 31
1:3:3:2:4:5:5:5:5:6:7, 2
1:3:5:2:4:6:7, 344
1:8:11:2:3:3:4:5:5:5:5:6:7, 1
1:8:2:10:10:3:3:4:5:5:5:5:6:7, 41
1:8:2:10:3:3:4:5:5:5:5:6:7, 78
1:8:2:11:14:3:3:4:5:5:5:5:6:7, 5
1:8:2:11:21:3:3:4:5:5:5:5:6:7, 8
1:8:2:11:3:3:4:5:5:5:5:6:7, 4
1:8:2:11:3:4:5:6:7, 7
1:8:2:11:3:5:4:6:7, 25
1:8:2:11:5:4:3:6:7, 367
1:8:2:12:12:12:12:12:12:3:3:4:5:5:5:5:6:7, 4
1:8:2:12:12:12:12:12:3:3:4:5:5:5:5:6:7, 13
1:8:2:12:12:12:12:12:3:4:5:6:7, 2
1:8:2:12:12:12:12:18:3:3:4:5:5:5:5:6:7, 1
1:8:2:12:12:12:12:3:3:4:5:5:5:5:6:7, 22
1:8:2:12:12:12:12:3:4:5:6:7, 5
1:8:2:12:12:12:18:3:3:4:5:5:5:5:6:7, 11
1:8:2:12:12:12:3:3:3:4:5:5:5:5:6:7, 3
1:8:2:12:12:12:3:3:4:5:5:5:5:6:7, 154
1:8:2:12:3:3:4:5:5:5:5:6:7, 555
1:8:2:12:3:4:5:6:7, 31
1:8:2:13:13:13:3:3:4:5:5:5:5:6:7, 6
1:8:2:13:13:3:3:4:5:5:5:5:6:7, 4
1:8:2:13:3:3:4:5:5:5:5:6:7, 3
1:8:2:14:15:16:17:3:3:4:5:5:5:5:6:7, 17
1:8:2:18:3:3:3:4:5:5:5:5:6:7, 52
1:8:2:18:3:3:4:5:5:5:5:6:7, 1
1:8:2:18:3:4:5:6:7, 398
1:8:2:18:3:5:4:6:7, 6
1:8:2:2:3:3:4:5:5:5:5:6:7, 53
1:8:2:3:3:11:4:5:5:5:5:6:7, 96
1:8:2:3:3:3:4:5:5:5:5:6:7, 62
1:8:2:3:3:4:5:5:5:5:6, 8
1:8:2:3:3:4:5:5:5:5:6:7, 95403
1:8:2:3:3:4:5:5:5:5:9:6:7, 13
1:8:2:3:3:5:5:5:5:4:6:7, 39
1:8:2:3:4:5:5:5:5:6:7, 164
1:8:2:3:4:5:5:6:7, 20
1:8:2:3:4:5:6:7, 243
1:8:2:3:5:4:6:7, 108
1:8:2:4:3:5:6:7, 6
1:8:2:5:3:4:6:7, 41
1:8:2:8:19:3:5:4:6:7, 6
1:8:2:8:3:3:4:5:5:5:5:6:7, 33
1:8:8:2:3:3:4:5:5:5:5:6:7, 10
