ifdg_GPSLongitude ,Count
0 deg 14 17.010, 1
0 deg 14 18.000, 1
0 deg 14 23.400, 1
0 deg 14 24.600, 1
0 deg 14 25.800, 2
0 deg 14 26.400, 2
0 deg 14 27.600, 1
0 deg 14 3.594, 1
0 deg 14 33.000, 1
0 deg 14 33.500, 5
0 deg 14 35.060, 1
0 deg 14 35.080, 1
0 deg 14 35.290, 1
0 deg 14 38.310, 1
0 deg 14 38.450, 2
0 deg 14 4.200, 3
0 deg 14 41.400, 4
0 deg 14 42.600, 12
0 deg 14 43.200, 8
0 deg 14 43.800, 5
0 deg 14 44.400, 7
0 deg 14 45.430, 1
0 deg 14 46.200, 1
0 deg 14 46.800, 1
0 deg 14 47.000, 1
0 deg 14 47.540, 1
0 deg 14 49.200, 1
0 deg 14 49.800, 1
0 deg 14 5.400, 1
0 deg 14 5.586, 1
0 deg 14 51.000, 1
0 deg 14 52.800, 1
0 deg 14 54.600, 1
0 deg 14 55.200, 1
0 deg 14 57.000, 2
0 deg 14 58.200, 1
0 deg 14 6.210, 1
0 deg 14 8.046, 1
0 deg 14 9.072, 1
0 deg 14 9.294, 1
0 deg 14 9.360, 1
0 deg 14 9.570, 1
0 deg 15 11.400, 1
0 deg 15 13.200, 1
0 deg 15 13.240, 1
0 deg 15 15.600, 1
0 deg 15 16.200, 1
0 deg 15 16.800, 1
0 deg 15 17.400, 2
0 deg 15 18.495, 1
0 deg 15 18.600, 1
0 deg 15 19.170, 1
0 deg 15 19.200, 1
0 deg 15 20.400, 7
0 deg 15 21.000, 1
0 deg 15 21.328, 1
0 deg 15 21.600, 1
0 deg 15 22.090, 1
0 deg 15 22.382, 1
0 deg 15 23.400, 1
0 deg 15 24.000, 2
0 deg 15 26.400, 2
0 deg 15 27.000, 3
0 deg 15 27.600, 4
0 deg 15 28.200, 6
0 deg 15 29.024, 1
0 deg 15 31.046, 1
0 deg 15 31.180, 1
0 deg 15 31.200, 1
0 deg 15 33.570, 1
0 deg 15 34.410, 1
0 deg 15 35.400, 1
0 deg 15 36.000, 2
0 deg 15 37.200, 3
0 deg 15 4.200, 1
0 deg 15 40.200, 1
0 deg 15 41.400, 2
0 deg 15 42.000, 1
0 deg 15 43.800, 1
0 deg 15 45.600, 1
0 deg 15 46.440, 2
0 deg 15 46.800, 1
0 deg 15 46.985, 1
0 deg 15 47.230, 5
0 deg 15 47.310, 1
0 deg 15 47.350, 1
0 deg 15 47.416, 1
0 deg 15 47.670, 2
0 deg 15 49.200, 3
0 deg 15 49.411, 1
0 deg 15 5.400, 1
0 deg 15 5.937, 1
0 deg 15 50.411, 1
0 deg 15 50.616, 1
0 deg 15 51.000, 7
0 deg 15 51.437, 1
0 deg 15 51.485, 1
0 deg 15 51.534, 1
0 deg 15 51.545, 1
