ifdg_GPSDateStamp ,Count
2011:02:09, 10
2011:02:10, 2
2011:02:11, 12
2011:02:12, 5
2011:02:13, 13
2011:02:14, 3
2011:02:15, 1
2011:02:16, 6
2011:02:17, 8
2011:02:18, 4
2011:02:19, 42
2011:02:20, 9
2011:02:21, 18
2011:02:22, 98
2011:02:23, 55
2011:02:24, 6
2011:02:25, 27
2011:02:26, 3
2011:02:27, 3
2011:02:28, 3
2011:02:31, 1
2011:03:01, 5
2011:03:02, 6
2011:03:03, 2
2011:03:04, 6
2011:03:05, 98
2011:03:06, 4
2011:03:07, 1
2011:03:08, 7
2011:03:09, 8
2011:03:10, 4
2011:03:11, 13
2011:03:12, 14
2011:03:13, 36
2011:03:14, 12
2011:03:15, 37
2011:03:16, 8
2011:03:17, 16
2011:03:18, 23
2011:03:19, 53
2011:03:20, 17
2011:03:21, 46
2011:03:22, 105
2011:03:23, 46
2011:03:24, 7
2011:03:25, 7
2011:03:26, 8
2011:03:27, 21
2011:03:28, 6
2011:03:29, 13
2011:03:30, 7
2011:03:31, 16
2011:04:01, 6
2011:04:02, 52
2011:04:03, 15
2011:04:04, 9
2011:04:05, 4
2011:04:06, 4
2011:04:07, 38
2011:04:08, 37
2011:04:09, 7
2011:04:10, 8
2011:04:11, 13
2011:04:12, 1
2011:04:13, 6
2011:04:14, 2
2011:04:15, 2
2011:04:16, 7
2011:04:17, 17
2011:04:18, 14
2011:04:19, 8
2011:04:20, 19
2011:04:21, 32
2011:04:22, 67
2011:04:23, 15
2011:04:24, 15
2011:04:25, 5
2011:04:26, 21
2011:04:27, 15
2011:04:28, 15
2011:04:29, 12
2011:04:30, 50
2011:05:01, 13
2011:05:02, 9
2011:05:03, 8
2011:05:04, 26
2011:05:05, 23
2011:05:06, 7
2011:05:07, 33
2011:05:08, 35
2011:05:09, 35
2011:05:10, 16
2011:05:11, 67
2011:05:12, 25
2011:05:13, 53
2011:05:14, 20
2011:05:15, 16
2011:05:16, 7
2011:05:17, 9
2011:05:18, 3
2011:05:19, 6
2011:05:20, 5
2011:05:21, 13
2011:05:22, 31
2011:05:23, 8
2011:05:24, 23
2011:05:25, 4
2011:05:26, 1
2011:05:27, 12
2011:05:28, 20
2011:05:29, 17
2011:05:30, 4
2011:05:31, 4
2011:06:01, 4
2011:06:03, 5
2011:06:04, 18
2011:06:05, 16
2011:06:06, 21
2011:06:07, 3
2011:06:08, 4
2011:06:09, 4
2011:06:10, 6
2011:06:11, 18
2011:06:12, 10
2011:06:13, 8
2011:06:14, 8
2011:06:15, 4
2011:06:16, 12
2011:06:17, 10
2011:06:18, 157
2011:06:19, 4
2011:06:20, 7
2011:06:21, 2
2011:06:22, 4
2011:06:23, 38
2011:06:24, 17
2011:06:25, 24
2011:06:26, 30
2011:06:27, 2
2011:06:28, 2
2011:06:29, 1
2011:06:30, 20
2011:07:01, 9
2011:07:02, 31
2011:07:03, 14
2011:07:04, 5
2011:07:05, 19
2011:07:06, 7
2011:07:07, 16
2011:07:08, 80
2011:07:09, 38
2011:07:10, 63
2011:07:11, 22
2011:07:12, 13
2011:07:13, 21
2011:07:14, 6
2011:07:15, 16
2011:07:16, 62
2011:07:17, 21
2011:07:18, 3
2011:07:19, 5
2011:07:20, 75
2011:07:21, 134
2011:07:22, 60
2011:07:23, 74
2011:07:24, 7
2011:07:25, 16
2011:07:26, 5
2011:07:27, 9
2011:07:28, 13
2011:07:29, 9
2011:07:30, 61
2011:07:31, 8
2011:08:01, 19
2011:08:02, 10
2011:08:03, 15
2011:08:04, 134
2011:08:05, 23
2011:08:06, 171
2011:08:07, 12
2011:08:08, 9
2011:08:09, 15
2011:08:10, 9
2011:08:11, 28
2011:08:12, 33
2011:08:13, 51
2011:08:14, 39
2011:08:15, 5
2011:08:16, 7
2011:08:17, 15
2011:08:18, 26
2011:08:19, 78
2011:08:20, 55
2011:08:21, 42
2011:08:22, 33
2011:08:23, 45
2011:08:24, 46
2011:08:25, 11
2011:08:26, 32
2011:08:27, 16
2011:08:28, 13
2011:08:29, 28
2011:08:30, 14
2011:08:31, 31
2011:09:01, 28
2011:09:02, 66
2011:09:03, 60
2011:09:04, 1
2011:09:05, 20
2011:09:06, 3
2011:09:07, 3
2011:09:08, 8
2011:09:09, 1
2011:09:10, 83
2011:09:11, 56
2011:09:12, 30
2011:09:13, 12
2011:09:14, 54
2011:09:15, 2
2011:09:16, 7
2011:09:17, 70
2011:09:18, 24
