ifd1_JpegIFOffset ,Count
@ +0x0353 = @ 0x037A, 2
@ +0x0353 = @ 0x037D, 5
@ +0x0353 = @ 0x037E, 2
@ +0x0353 = @ 0x037F, 1
@ +0x0353 = @ 0x0380, 3
@ +0x0353 = @ 0x0381, 5
@ +0x0353 = @ 0x0382, 3
@ +0x0353 = @ 0x0383, 6
@ +0x0353 = @ 0x0384, 1
@ +0x0353 = @ 0x0385, 2
@ +0x0353 = @ 0x0386, 3
@ +0x0353 = @ 0x0387, 1
@ +0x0353 = @ 0x0388, 2
@ +0x0353 = @ 0x0389, 3
@ +0x0353 = @ 0x038A, 2
@ +0x0353 = @ 0x038B, 1
@ +0x0353 = @ 0x038C, 1
@ +0x0353 = @ 0x038D, 2
@ +0x0353 = @ 0x038E, 2
@ +0x0353 = @ 0x0392, 1
@ +0x0353 = @ 0x0394, 1
@ +0x0353 = @ 0x0396, 1
@ +0x0353 = @ 0x0398, 2
@ +0x0353 = @ 0x039A, 2
@ +0x0353 = @ 0x039D, 1
@ +0x0353 = @ 0x039F, 1
@ +0x0353 = @ 0x03B8, 1
@ +0x0354 = @ 0x0360, 521
@ +0x0354 = @ 0x0372, 17
@ +0x0355 = @ 0x0361, 1
@ +0x0356 = @ 0x0362, 99
@ +0x0356 = @ 0x0374, 32
@ +0x0358 = @ 0x0364, 429
@ +0x035A = @ 0x0366, 810
@ +0x035A = @ 0x0378, 26
@ +0x035C = @ 0x0368, 4152
@ +0x035C = @ 0x037A, 13
@ +0x035D = @ 0x0369, 2
@ +0x035E = @ 0x036A, 93
@ +0x035E = @ 0x037C, 5
@ +0x0360 = @ 0x036C, 810
@ +0x0360 = @ 0x037E, 8
@ +0x0361 = @ 0x036D, 147
@ +0x0362 = @ 0x036E, 783
@ +0x0364 = @ 0x0370, 67
@ +0x0365 = @ 0x0371, 1
@ +0x0366 = @ 0x0372, 2528
@ +0x0366 = @ 0x0384, 124
@ +0x0367 = @ 0x0373, 7
@ +0x0368 = @ 0x0374, 1421
@ +0x0368 = @ 0x0386, 15
@ +0x0369 = @ 0x0375, 1415
@ +0x0369 = @ 0x0387, 18
@ +0x036A = @ 0x0376, 28
@ +0x036A = @ 0x0388, 7
@ +0x036C = @ 0x0378, 299
@ +0x036C = @ 0x038A, 40
@ +0x036D = @ 0x0379, 254
@ +0x036E = @ 0x037A, 811
@ +0x036E = @ 0x038C, 5
@ +0x036F = @ 0x037B, 1
@ +0x0370 = @ 0x037C, 110
@ +0x0372 = @ 0x037E, 578
@ +0x0372 = @ 0x0390, 55
@ +0x0373 = @ 0x037F, 55
@ +0x0373 = @ 0x0391, 19
@ +0x0374 = @ 0x0380, 2542
@ +0x0374 = @ 0x0392, 88
@ +0x0375 = @ 0x0381, 1
@ +0x0376 = @ 0x0382, 724
@ +0x0376 = @ 0x0394, 5
@ +0x0377 = @ 0x0383, 1
@ +0x0378 = @ 0x0384, 429
@ +0x0378 = @ 0x0396, 49
@ +0x0379 = @ 0x0385, 24
@ +0x037A = @ 0x0386, 7506
@ +0x037A = @ 0x0398, 265
@ +0x037B = @ 0x0387, 1
@ +0x037C = @ 0x0388, 1891
@ +0x037C = @ 0x039A, 19
@ +0x037D = @ 0x0389, 2
@ +0x037E = @ 0x038A, 22
@ +0x037E = @ 0x039C, 33
@ +0x0380 = @ 0x038C, 958
@ +0x0380 = @ 0x039E, 26
@ +0x0381 = @ 0x038D, 1
@ +0x0382 = @ 0x038E, 293
@ +0x0383 = @ 0x038F, 2
@ +0x0384 = @ 0x0390, 110
@ +0x0384 = @ 0x03A2, 4
@ +0x0386 = @ 0x0392, 3135
@ +0x0386 = @ 0x03A4, 249
@ +0x0387 = @ 0x0393, 5
@ +0x0388 = @ 0x0394, 344
@ +0x038A = @ 0x0396, 131
@ +0x038A = @ 0x03A8, 3
@ +0x038C = @ 0x0398, 184
