ifds_ExposureTime ,Count
1/2181 s, 7
1/2182 s, 1
1/2183 s, 3
1/2184 s, 14
1/2185 s, 12
1/2187 s, 2
1/2188 s, 2
1/219 s, 84
1/2190 s, 2
1/2191 s, 1
1/2192 s, 5
1/2194 s, 1
1/2196 s, 3
1/2197 s, 5
1/2198 s, 45
1/22 s, 202
1/220 s, 105
1/2200 s, 7
1/2201 s, 2
1/2203 s, 12
1/2208 s, 178
1/2209 s, 9
1/221 s, 51
1/2210 s, 1
1/2216 s, 3
1/222 s, 75
1/2221 s, 4
1/2222 s, 10
1/2223 s, 13
1/2224 s, 6
1/2225 s, 1
1/2227 s, 11
1/223 s, 129
1/2232 s, 9
1/2233 s, 5
1/2237 s, 7
1/224 s, 89
1/2240 s, 5
1/2241 s, 1
1/2245 s, 2
1/2246 s, 1
1/2247 s, 3
1/2248 s, 11
1/2249 s, 3
1/225 s, 72
1/2250 s, 1
1/2252 s, 14
1/2253 s, 1
1/2256 s, 10
1/2257 s, 5
1/2258 s, 1
1/226 s, 75
1/2260 s, 2
1/2261 s, 1
1/2262 s, 205
1/2264 s, 8
1/2268 s, 1
1/2269 s, 10
1/227 s, 64
1/2272 s, 33
1/22727 s, 2
1/2274 s, 2
1/2277 s, 2
1/2278 s, 1
1/228 s, 75
1/2280 s, 5
1/2281 s, 1
1/2282 s, 4
1/2283 s, 87
1/2285 s, 2
1/2286 s, 5
1/2288 s, 8
1/229 s, 187
1/2290 s, 15
1/2291 s, 1
1/2294 s, 7
1/2296 s, 2
1/2298 s, 1
1/2299 s, 3
1/23 s, 158
1/230 s, 79
1/2300 s, 1
1/2301 s, 1
1/2303 s, 1
1/2304 s, 205
1/2307 s, 5
1/2308 s, 9
1/231 s, 47
1/2312 s, 15
1/2314 s, 1
1/2315 s, 1
1/2318 s, 1
1/2319 s, 4
1/232 s, 57
1/2320 s, 219
1/23232 s, 1
1/2325 s, 4
1/2326 s, 81
1/2327 s, 1
1/2328 s, 3
1/2329 s, 1
1/233 s, 97
1/2332 s, 6
1/2333 s, 1
1/2336 s, 10
1/2337 s, 1
1/2338 s, 1
1/2339 s, 2
1/234 s, 90
1/2340 s, 2
1/2341 s, 1
1/2342 s, 2
1/2344 s, 16
1/2347 s, 1
1/2348 s, 1
1/235 s, 58
1/2351 s, 2
1/2352 s, 13
1/2353 s, 6
1/2354 s, 1
1/2357 s, 5
1/2358 s, 170
1/236 s, 84
1/2360 s, 5
1/2362 s, 8
1/2363 s, 1
1/2364 s, 1
1/2365 s, 1
1/2366 s, 1
1/2368 s, 8
1/2369 s, 2
1/237 s, 57
1/2370 s, 2
1/2371 s, 2
1/2375 s, 1
1/2376 s, 11
1/238 s, 69
1/2380 s, 6
1/2381 s, 2
1/2383 s, 4
1/2384 s, 3
1/2385 s, 2
1/2386 s, 1
1/2387 s, 1
1/2389 s, 1
1/239 s, 155
1/2391 s, 1
1/2392 s, 9
1/2393 s, 2
1/2396 s, 5
1/2397 s, 1
1/2398 s, 2
1/24 s, 2584
1/240 s, 89
1/2400 s, 13
1/24000 s, 1
1/2401 s, 1
1/2402 s, 1
1/2404 s, 149
1/2408 s, 10
1/2409 s, 7
1/241 s, 84
1/2410 s, 2
1/2415 s, 112
1/2416 s, 9
1/2418 s, 2
1/2419 s, 2
1/242 s, 55
1/2420 s, 15
1/2421 s, 5
1/2422 s, 2
1/2424 s, 18
1/243 s, 77
1/2432 s, 6
1/2433 s, 3
1/2434 s, 2
1/2435 s, 8
1/2438 s, 19
1/244 s, 59
1/2440 s, 3
1/2448 s, 11
1/245 s, 81
1/2452 s, 68
1/2456 s, 5
1/246 s, 53
1/2460 s, 4
1/2462 s, 1
1/2463 s, 184
1/2464 s, 2
1/2469 s, 2
1/247 s, 79
1/2472 s, 4
1/2475 s, 45
1/248 s, 38
1/2480 s, 7
1/2482 s, 1
1/2483 s, 1
1/2484 s, 1
1/2487 s, 1
1/2488 s, 23
1/2489 s, 2
1/249 s, 85
1/2490 s, 2
1/2492 s, 1
1/2493 s, 1
1/2496 s, 9
1/25 s, 10690
1/250 s, 37090
1/2500 s, 1538
1/2502 s, 2
1/2504 s, 5
1/251 s, 57
1/2512 s, 3
1/2513 s, 127
1/2514 s, 192
1/2515 s, 4
1/2519 s, 75
1/252 s, 58
1/2520 s, 4
1/2521 s, 1
1/2526 s, 1
1/2527 s, 7
1/2528 s, 4
1/2529 s, 1
1/253 s, 64
1/2530 s, 1
1/2532 s, 7
1/2536 s, 9
1/2539 s, 5
1/254 s, 56
1/2542 s, 1
1/2543 s, 4
1/2544 s, 4
1/2545 s, 1
1/2546 s, 1
1/2548 s, 3
1/255 s, 43
1/2550 s, 1
1/2552 s, 2
1/2553 s, 1
