ifd_size ,Count
0:20:156:358:4052, 3
0:20:156:362:1096, 2
0:20:156:362:2488:114, 19
0:20:156:378:4052, 6
0:20:156:383, 147
0:20:156:390:880, 21
0:20:156:396, 166
0:20:156:398:11992, 15
0:20:156:418:4052, 4
0:20:156:426, 1
0:20:156:438:4052, 2
0:20:156:481, 138
0:20:156:502, 1
0:20:156:90, 23
0:20:157:172, 40
0:20:157:182:248, 32
0:20:157:210, 52
0:20:157:383, 8
0:20:157:481, 72
0:20:158, 83
0:20:158:132, 68
0:20:158:158:2480, 11
0:20:158:172, 123
0:20:158:210, 98
0:20:158:238, 6
0:20:158:298:30:251, 4
0:20:158:310, 1
0:20:158:314:30, 6
0:20:158:347:30, 17
0:20:158:347:30:251, 420
0:20:158:347:30:38, 68
0:20:158:396, 3
0:20:158:398, 4
0:20:158:418, 57
0:20:158:438, 1
0:20:158:486:3972:30, 136
0:20:158:490, 1
0:20:158:502, 8
0:20:1596:564:1473:35, 10
0:20:159:132, 1
0:20:159:174, 1
0:20:159:174:36, 1
0:20:159:78, 17
0:20:160, 23
0:20:160:126, 46
0:20:160:154, 6
0:20:160:166, 1
0:20:160:226, 6
0:20:160:338:1024, 110
0:20:160:338:202, 1
0:20:160:350:1024, 37
0:20:160:358:156, 1
0:20:160:402, 2
0:20:160:434, 1
0:20:160:468:7570:35, 5
0:20:160:492, 1
0:20:161, 24
0:20:1612:94:30:17773, 2
0:20:161:132, 53
0:20:161:396, 3
0:20:161:451, 6
0:20:162, 526
0:20:162:100, 15
0:20:162:132, 16
0:20:162:172, 104
0:20:162:302:109, 1
0:20:162:302:90, 1
0:20:162:303, 88
0:20:162:314:117, 1
0:20:162:316, 403
0:20:162:316:92:30, 32
0:20:162:338:4052, 79
0:20:162:338:4192, 286
0:20:162:338:4204, 213
0:20:162:338:4208, 18
0:20:162:338:4220, 1
0:20:162:351, 3
0:20:162:358:4052, 41
0:20:162:358:4192, 10
0:20:162:358:4204, 13
0:20:162:358:4208, 2
0:20:162:362:109, 2
0:20:162:362:90, 22
0:20:162:362:93, 34
0:20:162:362:94, 5
0:20:162:362:95, 1
0:20:162:362:96, 4
0:20:162:364, 2
0:20:162:364:35, 2
0:20:162:374:90, 15
0:20:162:374:92, 1
0:20:162:374:93, 4
0:20:162:374:94, 2
0:20:162:374:95, 2
0:20:162:390:932, 2
0:20:162:396, 204
0:20:162:398:12118, 5
0:20:162:398:4052, 325
0:20:162:398:4192, 1229
0:20:162:398:4204, 150
0:20:162:402, 1
0:20:162:406:30, 3
0:20:162:406:30:66, 9
0:20:162:410:564, 4
0:20:162:414, 1
0:20:162:418:4052, 9
0:20:162:418:4192, 105
0:20:162:422:18, 3
0:20:162:434:18, 2
0:20:162:454, 1
0:20:162:470, 1
0:20:162:482:1548:54, 150
0:20:162:498:30:138, 3
0:20:162:562:32708, 1
0:20:162:562:32812, 1
0:20:162:562:34660, 1
0:20:162:562:36300, 1
0:20:163:146:102, 159
0:20:163:146:138, 632
0:20:163:310:142, 4
0:20:163:396, 122
0:20:163:415, 3
0:20:163:434:4195:30, 2
0:20:163:434:4207:30, 2
0:20:163:434:4227:30, 7
0:20:163:471, 21
0:20:164, 121
0:20:164:146:138, 9
0:20:164:162, 192
0:20:164:162:138, 34
0:20:164:162:158, 47
0:20:164:172, 155
0:20:164:176:32, 6
0:20:164:2030, 1
0:20:164:2060, 1
0:20:164:2096, 1
0:20:164:2104, 2
0:20:164:2108, 1
0:20:164:2110, 1
0:20:164:2116, 1
0:20:164:2118, 1
0:20:164:2126, 1
0:20:164:214:30, 38
0:20:164:2168, 1
0:20:164:2178, 1
0:20:164:2242, 2
0:20:164:266, 2
0:20:164:324, 1
0:20:164:338:4204, 2
0:20:164:362:158, 1
0:20:164:370, 1
0:20:164:396, 296
0:20:164:396:32, 8
0:20:164:422:9749:30, 95
0:20:164:434, 1
0:20:164:434:4227:30, 5
0:20:164:482:1158:54, 2
0:20:164:96, 3
0:20:165:132, 72
0:20:165:172, 6
0:20:165:410:1160, 3
0:20:165:422:9749:30, 1
0:20:165:484:666:59, 3
0:20:165:484:678:59, 1
0:20:165:484:686:59, 1
0:20:165:484:690:59, 1
0:20:165:484:698:59, 1
0:20:165:484:862:59, 1
0:20:165:760:59, 1
0:20:166, 8
0:20:16616:554, 2
0:20:16648:562:20612:30, 150
0:20:16680:562:20612:30, 92
0:20:16680:562:20612:38, 78
0:20:16680:582:20612:42, 289
0:20:166:106:154, 16
0:20:166:154:30, 13
0:20:166:154:30:6, 139
0:20:166:174:30:218, 36
0:20:166:174:30:222, 25
0:20:166:185:31:6, 8
0:20:166:221:89, 6
0:20:166:242:30, 13
0:20:166:312:78, 38
0:20:166:314:30, 6
0:20:166:314:78, 5
0:20:166:316:78, 70
0:20:166:330:30, 1
0:20:166:342:30, 4
0:20:166:358:54, 1
0:20:166:364:138, 1
0:20:166:370, 1
0:20:166:390, 106
0:20:166:402, 3
0:20:166:406, 3
0:20:166:410, 5
0:20:166:470, 21
0:20:166:474, 7
0:20:166:474:840, 4
0:20:166:474:852, 6
0:20:166:478:48:30, 2
0:20:166:484:678:59, 3
0:20:166:484:78, 31
0:20:166:486:2948:30, 395
0:20:166:494:140, 6
0:20:166:494:304, 4
0:20:166:496:78, 3
0:20:166:498:78, 57
0:20:166:506:312, 2
0:20:166:518:324, 1
0:20:166:542:684:30, 1
0:20:166:760:59, 2
0:20:167, 4
0:20:16730:570:14786:168, 124
0:20:167:112, 10
0:20:167:132, 6
0:20:167:142, 9
0:20:167:154:47, 299
0:20:167:362:90, 1
0:20:167:383:228, 61
0:20:167:383:232, 20
0:20:167:396:228, 42
0:20:167:396:232, 39
0:20:167:496:2557:59, 1
0:20:167:514:1025:23, 1
0:20:168, 2
0:20:16808:422:20620, 55
0:20:168:112, 98
0:20:168:118, 211
0:20:168:154:30, 66
0:20:168:174:30, 19
0:20:168:176:32, 6
0:20:168:186:30, 1
0:20:168:186:30:250, 3
0:20:168:186:30:254, 2
0:20:168:222:30, 1452
0:20:168:258:30, 1
0:20:168:270:30, 2
0:20:168:290:30, 10
0:20:168:298:30, 20
0:20:168:300:35, 1
0:20:168:310, 3
0:20:168:310:30, 15
0:20:168:310:54:30, 16
0:20:168:314:30, 9
0:20:168:338:4052:154, 5
0:20:168:338:4052:198, 346
0:20:168:350, 1
0:20:168:350:30, 17
0:20:168:358:4052:154, 2
0:20:168:358:4052:198, 17
0:20:168:362:2488:114, 1
0:20:168:370, 2
0:20:168:383:228, 140
0:20:168:383:232, 21
0:20:168:384:230, 11
0:20:168:390, 3
0:20:168:394:30, 6
0:20:168:396:228, 23
0:20:168:396:230, 8
0:20:168:396:232, 32
0:20:168:396:234, 3
0:20:168:396:32, 728
0:20:168:398:11992:198, 1
0:20:168:402, 1
0:20:168:422:146, 110
0:20:168:438, 7
0:20:168:454:7570, 1
0:20:168:462, 5
0:20:168:470:2322:30, 1
0:20:168:474, 1
0:20:168:486:2948:30, 73
0:20:168:496:2562:59, 8
0:20:168:496:2696:56, 18
0:20:168:90, 1
0:20:169, 18
0:20:169:430:3828, 1
0:20:169:430:3828:30, 1
0:20:169:446:175, 3
0:20:17064:590:20496:30, 10
0:20:170:142, 30
0:20:170:174:30, 344
0:20:170:2122:54, 1
0:20:170:226:30:249, 17
0:20:170:226:30:253, 4
0:20:170:226:30:97, 4
0:20:170:262:30, 11
0:20:170:374, 3
0:20:170:382, 1
0:20:170:388:249, 1
0:20:170:388:38, 13
0:20:170:394:2608, 1
0:20:170:396:237, 1
0:20:170:396:249, 6
0:20:170:396:256, 4
0:20:170:396:260, 10
0:20:170:396:262, 2
0:20:170:396:264, 33
0:20:170:396:38, 7
0:20:170:398:4052, 184
0:20:170:410, 1
0:20:170:410:4060, 6
0:20:170:418, 10
0:20:170:418:30, 146
0:20:170:418:4052, 1204
0:20:170:430:3828:30, 1
0:20:170:430:4106:30, 1
