ifds_DigitalZoomRatio ,Count
2138840/1000000, 6
214/100, 129
214/83, 1
21400/100, 3
2146/1039, 1
215/100, 5
215/213, 1
21512/9575, 1
2155/1301, 1
216/100, 1
216/101, 1
216/107, 1
216/137, 2
216/167, 3
216/60, 1
216/67, 1
216/83, 4
216/89, 1
216/91, 1
216/95, 1
2169/1219, 1
2169/697, 1
217/100, 1
217/111, 1
217/167, 2
217/83, 1
2173/916, 1
2174/2097, 1
2178/707, 1
218/100, 3
2180/1673, 1
2181/622, 1
2182/1375, 1
2183/711, 2
2189/1712, 1
219/100, 7
219/167, 1
2190760/1000000, 4
2191/1553, 1
2193/1936, 1
21941/7202, 1
2197/1891, 1
22/10, 73
22/13, 2
22/16, 42
22/17, 1
22/19, 1
22/5, 1
220/100, 134
2201/1049, 1
220201/65536, 3
2205/1744, 2
2205/992, 2
2206/1267, 1
2206/1433, 1
2207/1679, 1
2207/2201, 1
2207/519, 1
2209/1008, 1
221/100, 2
2213/1710, 1
2214/1885, 1
22165/10797, 1
222/100, 50
222/60, 4
22200/100, 2
2221/2101, 1
22239/5188, 1
2225/763, 1
2227/945, 2
2229/961, 1
223/100, 2
2230/1581, 1
2231/1165, 1
2235/988, 2
2237/1698, 1
224/100, 2
2242055/1000000, 6
2243/860, 1
2244/1549, 1
2247/1093, 1
2249/2125, 1
225/100, 3
2254/1563, 3
22582/12073, 1
2259/1237, 1
226/100, 3
226/167, 2
2264/1149, 1
2265/992, 1
227/100, 20
227/73, 1
227/75, 1
2272/1024, 69
2272/1280, 96
2272/1600, 77
2272/2272, 19353
2272/400, 3
2272/512, 3
2272/640, 80
2272/832, 40
2273/1319, 1
2274/1811, 1
2277/1616, 1
228/100, 4
228/167, 2
228/60, 1
228065/65536, 1
2281/1099, 1
2281/1681, 1
2281/1755, 1
2285/2278, 2
229/100, 78
2292456/1000000, 5
2299/894, 3
23/10, 22
23/13, 1
23/15, 2
23/16, 29
23/4, 7
230/100, 95
230/167, 1
230/230, 12
23000/100, 2
2301/1241, 1
2301/1619, 1
2305/1379, 1
2308/1223, 1
231/100, 2
231/181, 1
2311/1506, 1
2312/1885, 1
23125/10000, 20
2313/844, 1
2316/1607, 1
232/100, 7
2323/1062, 1
2323/1123, 1
2323/1517, 1
2325/1544, 1
2326/913, 1
233/111, 2
2336/1409, 1
2337/1883, 5
234/100, 1
2343/1940, 1
2345/1453, 1
234524/57201, 1
2346/1963, 1
2348686/1000000, 3
2349/1952, 1
235/100, 3
235/166, 1
2350/2119, 1
2351/913, 1
2354/1579, 1
236/100, 3
236/167, 2
23608/11575, 1
2361/2027, 1
2362/1273, 1
236585/65535, 6
236585/65536, 1
23683/10924, 2
23685/13162, 1
237/100, 1
237/167, 2
237/227, 1
23729/5818, 1
2376/961, 1
2377/1111, 1
2378/1093, 1
238/100, 40
238/83, 1
23818/14847, 1
2383/1719, 1
2385/1906, 1
2385/2137, 1
239/100, 2
239/206, 1
239/225, 2
239/75, 1
239/88, 1
2390/1483, 1
2395/954, 1
2397/1193, 1
2397/1474, 1
239919/64843, 1
24/10, 34
24/13, 2
24/16, 23
24/24, 3
24/7, 2
240/100, 106
240/60, 13
2401/1408, 1
2401224/1000000, 6
2402/2079, 5
24038/13427, 1
241/225, 1
241/75, 1
2414/1277, 1
242/100, 1
242/113, 1
242/119, 2
242/125, 1
242/137, 1
242/141, 1
242/159, 4
242/167, 1
242/171, 1
242/177, 1
242/183, 2
242/199, 1
242/203, 1
242/237, 2
242/75, 2
242/81, 1
242/97, 1
2422/1035, 1
2424/1553, 1
243/100, 3
2434/1491, 3
2434/2075, 1
2434/977, 5
2435/1084, 1
2438/2043, 1
2439/2198, 2
2441/1477, 1
2442/1523, 1
2443/2102, 1
2448/1001, 3
2448/1007, 4
2448/1013, 2
2448/1019, 1
2448/1021, 3
2448/1033, 2
2448/1039, 4
2448/1051, 1
2448/1067, 2
2448/1069, 2
2448/1075, 2
2448/1079, 1
2448/1091, 4
2448/1093, 1
2448/1099, 5
2448/1103, 4
2448/1109, 2
2448/1111, 4
2448/1117, 3
2448/1135, 1
2448/1141, 5
2448/1157, 1
2448/1169, 1
2448/1181, 2
2448/1183, 1
2448/1187, 1
2448/1199, 1
2448/1205, 3
