ifd0_GPSOffset ,Count
@ 0x07FA, 17
@ 0x07FE, 14
@ 0x0806, 1
@ 0x0808, 1
@ 0x080E, 13
@ 0x0810, 16
@ 0x081A, 377
@ 0x0820, 2
@ 0x0822, 192
@ 0x0824, 146
@ 0x0825, 3
@ 0x082C, 87
@ 0x0830, 1
@ 0x0832, 40
@ 0x0834, 1
@ 0x0838, 2
@ 0x0842, 39
@ 0x0848, 10
@ 0x0852, 9
@ 0x0854, 128
@ 0x0858, 1
@ 0x0862, 47
@ 0x0866, 2
@ 0x0872, 10
@ 0x087A, 1
@ 0x087E, 79
@ 0x0882, 1
@ 0x0884, 1
@ 0x088A, 1
@ 0x0890, 13
@ 0x0892, 1
@ 0x089C, 1
@ 0x08A6, 56
@ 0x08A8, 5
@ 0x08AA, 1
@ 0x08AC, 2
@ 0x08AE, 12
@ 0x08B2, 11
@ 0x08B4, 1
@ 0x08B6, 1
@ 0x08B8, 1
@ 0x08BA, 2
@ 0x08C0, 1
@ 0x08C2, 1
@ 0x08C6, 1
@ 0x08CC, 6
@ 0x08D8, 2
@ 0x08DA, 36
@ 0x08DC, 2
@ 0x08E0, 3
@ 0x08E4, 5
@ 0x08E6, 19
@ 0x08E8, 1
@ 0x08EA, 4
@ 0x08EC, 1
@ 0x08EE, 4
@ 0x08F0, 3
@ 0x08F2, 3
@ 0x08F4, 5
@ 0x08F6, 3
@ 0x08F8, 2
@ 0x08FA, 2
@ 0x08FC, 3
@ 0x08FE, 136
@ 0x0900, 4
@ 0x0902, 7
@ 0x0904, 3
@ 0x0906, 4
@ 0x0908, 6
@ 0x090A, 45
@ 0x090C, 8
@ 0x090E, 4
@ 0x0910, 5
@ 0x0912, 89
@ 0x0914, 5
@ 0x0916, 42
@ 0x0918, 2
@ 0x091A, 12
@ 0x091C, 5
@ 0x091E, 1
@ 0x0920, 3
@ 0x0922, 4
@ 0x0924, 6
@ 0x0926, 6
@ 0x0928, 2
@ 0x092A, 4
@ 0x092C, 6
@ 0x092E, 7
@ 0x0930, 3
@ 0x0932, 7
@ 0x0934, 7
@ 0x0936, 6
@ 0x0938, 8
@ 0x093A, 7
@ 0x093C, 7
@ 0x093E, 7
@ 0x0940, 4
@ 0x0942, 3
@ 0x0944, 9
@ 0x0946, 4
@ 0x0948, 9
@ 0x094A, 3
@ 0x094C, 6
@ 0x094E, 5
@ 0x0950, 5
@ 0x0952, 3
@ 0x0954, 3
@ 0x0958, 12
@ 0x095C, 3
@ 0x095E, 3
@ 0x0960, 2
@ 0x0962, 5
@ 0x0964, 2
@ 0x0966, 5
@ 0x0968, 6
@ 0x096A, 3
@ 0x096B, 2
@ 0x096C, 3
@ 0x096E, 3
@ 0x0970, 1
@ 0x0972, 2
@ 0x0974, 5
@ 0x0976, 5
@ 0x0978, 3
@ 0x097A, 1
@ 0x097C, 2
@ 0x097E, 3
@ 0x0980, 563
@ 0x0982, 3
@ 0x0984, 3
@ 0x0986, 3
@ 0x0988, 55
@ 0x098A, 2
@ 0x098C, 13
@ 0x098E, 5
@ 0x0990, 103
@ 0x0994, 2
@ 0x0996, 2
@ 0x0998, 1
@ 0x099A, 8
@ 0x099C, 1
@ 0x099E, 2
@ 0x09A0, 1
@ 0x09A2, 1
@ 0x09AC, 1
@ 0x09B0, 69
@ 0x09B2, 1
@ 0x09B4, 9
@ 0x09B6, 2
@ 0x09BC, 2
@ 0x09BE, 6
@ 0x09C0, 1
@ 0x09C6, 1
@ 0x09CA, 1
@ 0x09CC, 33
@ 0x09CE, 5
@ 0x09D8, 516
@ 0x09DE, 3
@ 0x09E4, 1
@ 0x09E6, 43
@ 0x09EE, 9
@ 0x09F0, 1
@ 0x09F4, 5
@ 0x09F8, 18
@ 0x09FA, 49
@ 0x09FC, 1
@ 0x09FE, 8
@ 0x0A10, 2
@ 0x0A14, 3
@ 0x0A1A, 20
@ 0x0A24, 3
@ 0x0A2A, 12
@ 0x0A2C, 9
@ 0x0A2E, 6
@ 0x0A30, 1
@ 0x0A32, 2
@ 0x0A38, 16
@ 0x0A3C, 7
@ 0x0A4A, 2
@ 0x0A4C, 273
@ 0x0A54, 1
@ 0x0A58, 1
@ 0x0A5A, 25
@ 0x0A6B, 1
@ 0x0A7E, 1
@ 0x0A82, 16
@ 0x0A84, 3
@ 0x0A86, 2
@ 0x0A8A, 10
@ 0x0A8C, 9
@ 0x0A94, 4
@ 0x0AA6, 106
@ 0x0AAA, 42
@ 0x0AAE, 11
@ 0x0AB8, 32
@ 0x0AE0, 110
@ 0x0AE2, 85
@ 0x0AE4, 16
@ 0x0AEC, 2
@ 0x0AF0, 10
@ 0x0AFC, 1
@ 0x0B07, 100
@ 0x0B0A, 8
@ 0x0B0C, 1
@ 0x0B0E, 148
@ 0x0B14, 3
@ 0x0B16, 233
@ 0x0B20, 1
@ 0x0B28, 2
@ 0x0B2A, 1
@ 0x0B2C, 2
@ 0x0B2F, 4
@ 0x0B30, 21
@ 0x0B34, 2
@ 0x0B3C, 150
@ 0x0B3E, 2
@ 0x0B50, 9
@ 0x0B64, 2
@ 0x0B6B, 413
@ 0x0B70, 14
@ 0x0B72, 3
@ 0x0B78, 1
@ 0x0B7A, 60
@ 0x0B84, 4
@ 0x0B86, 3
@ 0x0B8A, 16
@ 0x0B94, 21
@ 0x0B96, 40
@ 0x0B97, 370
@ 0x0B98, 81
@ 0x0B9E, 1
@ 0x0BA0, 777
@ 0x0BA1, 4
@ 0x0BA3, 2
@ 0x0BA4, 6
@ 0x0BA6, 6
@ 0x0BA8, 1
@ 0x0BB2, 912
@ 0x0BB6, 4
@ 0x0BBA, 31
@ 0x0BBC, 1
@ 0x0BBE, 1
@ 0x0BC6, 24
@ 0x0BC8, 2
@ 0x0BD2, 1
@ 0x0BD6, 42
@ 0x0BE6, 1
@ 0x0BF0, 1
@ 0x0BF4, 2
@ 0x0BF6, 7
@ 0x0BFC, 2
@ 0x0C02, 6
@ 0x0C06, 2
@ 0x0C20, 13
@ 0x0C24, 1
@ 0x0C29, 2
@ 0x0C2C, 382
@ 0x0C2E, 55
@ 0x0C34, 27
@ 0x0C3C, 2
@ 0x0C3E, 22
@ 0x0C40, 5
@ 0x0C4A, 4
@ 0x0C50, 48
@ 0x0C54, 34
@ 0x0C64, 10
@ 0x0C74, 1
@ 0x0C98, 39
@ 0x0C9C, 1
@ 0x0CA7, 1
@ 0x0CB0, 4
@ 0x0CC8, 1
@ 0x0CD0, 29
@ 0x0CD4, 21
@ 0x0CDA, 17
@ 0x0CDD, 1
@ 0x0CDE, 158
@ 0x0CE4, 1
@ 0x0CE6, 1
@ 0x0CEE, 128
@ 0x0CF8, 1
@ 0x0CFA, 7
@ 0x0D00, 1
@ 0x0D02, 16
@ 0x0D06, 1
@ 0x0D0B, 1
@ 0x0D0E, 11
@ 0x0D10, 153
@ 0x0D1C, 3
@ 0x0D20, 2
@ 0x0D2E, 3
@ 0x0D30, 1
@ 0x0D32, 62
@ 0x0D34, 2
@ 0x0D3C, 128
@ 0x0D3D, 1
@ 0x0D3E, 24
@ 0x0D41, 1
@ 0x0D44, 3
@ 0x0D60, 1
@ 0x0D68, 1
@ 0x0D6A, 9
@ 0x0D76, 51
@ 0x0D78, 55
@ 0x0D80, 1
@ 0x0D82, 359
@ 0x0D84, 3
@ 0x0D86, 1
@ 0x0D94, 1
@ 0x0DB0, 1
@ 0x0DB4, 4
@ 0x0DBE, 1
@ 0x0DC0, 1
@ 0x0DC2, 1
@ 0x0DD4, 21
@ 0x0DDC, 1
@ 0x0DE2, 8
@ 0x0DFC, 5
@ 0x0E00, 1
@ 0x0E1B, 1
@ 0x0E20, 16
@ 0x0E26, 1
@ 0x0E2E, 1
@ 0x0E30, 34
@ 0x0E32, 33
@ 0x0E36, 4
@ 0x0E4C, 1
@ 0x0E58, 2
@ 0x0E5E, 6
@ 0x0E60, 1
@ 0x0E6A, 7
@ 0x0E82, 1
@ 0x0E8C, 93
@ 0x0E8E, 13
@ 0x0E98, 20
@ 0x0EA0, 1
@ 0x0EB0, 1
@ 0x0EC8, 4
@ 0x0ECE, 3
@ 0x0EE8, 1
@ 0x0EEE, 2
@ 0x0F1A, 8
@ 0x0F44, 3
@ 0x0F46, 1
@ 0x0F48, 2
@ 0x0F4A, 1
@ 0x0F4C, 1
@ 0x0F50, 1
@ 0x0F52, 1
@ 0x0F5E, 10
@ 0x0F66, 1
@ 0x0F68, 1
@ 0x0F72, 1
@ 0x0F82, 1
@ 0x0F84, 1
@ 0x0F88, 1
@ 0x0F8A, 1
@ 0x0F90, 3
@ 0x0F92, 7
@ 0x0FB0, 1
@ 0x0FB2, 1
@ 0x0FB3, 1
@ 0x0FBE, 2
@ 0x0FC2, 2
@ 0x0FD2, 1
@ 0x0FD4, 26
@ 0x0FD8, 1
@ 0x0FDA, 1
@ 0x0FDC, 1
@ 0x0FE4, 4
@ 0x0FE8, 1
@ 0x0FF8, 1
@ 0x1000, 1
@ 0x1002, 1
@ 0x1004, 1
@ 0x100E, 1
@ 0x1010, 9
@ 0x1016, 1
@ 0x101A, 1
@ 0x1022, 4
@ 0x1024, 1
@ 0x1028, 8
@ 0x102C, 1
@ 0x1030, 1
@ 0x1034, 3
@ 0x1036, 1
@ 0x103A, 1
@ 0x103C, 1
@ 0x1040, 1
@ 0x104C, 3
@ 0x104E, 3
@ 0x1050, 1
@ 0x1054, 1
@ 0x1062, 2
@ 0x1064, 1
@ 0x1066, 1
@ 0x1068, 1
@ 0x106A, 1
@ 0x106C, 1
@ 0x1076, 2
@ 0x107A, 1
@ 0x107F, 2
@ 0x1080, 1
@ 0x1082, 1
@ 0x1088, 1
@ 0x108A, 3
@ 0x108C, 1
@ 0x1094, 2
@ 0x1098, 2
@ 0x109E, 1
@ 0x10A6, 1
@ 0x10A8, 4
@ 0x10AA, 1
@ 0x10B2, 1
@ 0x10B4, 2
@ 0x10BA, 1
@ 0x10BC, 1
@ 0x10CA, 1
@ 0x10CB, 2
@ 0x10DC, 1
@ 0x10DE, 2
@ 0x10E4, 6
@ 0x10E8, 2
@ 0x10EE, 1
@ 0x10F0, 1
@ 0x10FC, 1
@ 0x1100, 68
@ 0x1108, 1
@ 0x110A, 1
@ 0x110C, 1
@ 0x1128, 2
@ 0x112A, 1
@ 0x1134, 1
@ 0x113E, 64
@ 0x114C, 1
@ 0x114E, 1
@ 0x1150, 1
@ 0x115E, 1
@ 0x117A, 1
@ 0x118E, 4
@ 0x119A, 6
@ 0x11AA, 4
@ 0x11AC, 1
@ 0x11BA, 86
@ 0x11D6, 351
@ 0x11DC, 15
@ 0x11E6, 201
@ 0x11EA, 28
@ 0x11F0, 7
@ 0x11F6, 234
@ 0x1214, 5
@ 0x1218, 322
@ 0x1220, 517
@ 0x1224, 1
@ 0x1226, 35
@ 0x1228, 78
@ 0x122C, 4
@ 0x1230, 187
@ 0x1232, 1
@ 0x1234, 1888
@ 0x123A, 440
@ 0x123C, 2
@ 0x1244, 88
@ 0x1245, 11
@ 0x1248, 180
@ 0x1264, 22
@ 0x1268, 52
@ 0x126A, 169
@ 0x1272, 2
@ 0x1274, 54
@ 0x127E, 2
@ 0x1284, 1
@ 0x1288, 1
@ 0x12A4, 259
@ 0x12AE, 4
@ 0x12B0, 75
@ 0x12B8, 18
@ 0x12C4, 3
@ 0x12D2, 1
@ 0x12D4, 5
@ 0x12E0, 56
@ 0x12E8, 210
@ 0x12EA, 2
@ 0x12F4, 1
@ 0x12FF, 47
@ 0x1312, 55
@ 0x131A, 19
@ 0x131E, 1
@ 0x1320, 1
@ 0x1322, 683
@ 0x1324, 2
@ 0x1328, 25
@ 0x132A, 77
@ 0x132C, 2
@ 0x1334, 153
@ 0x133A, 371
@ 0x133C, 1
@ 0x133E, 6
@ 0x1340, 569
@ 0x1342, 62
@ 0x1344, 8
@ 0x1348, 5
@ 0x134A, 185
@ 0x134E, 763
@ 0x1352, 4
@ 0x1356, 91
@ 0x1361, 1
