ifds_bit ,Count
0000000000000011000000000011110111010111100000000010000111101000000000101111010110000, 3
0000000000000011000000000011110111010111100000000010000111101000000000101111010111000, 270
0000000000000011000000000011110111110111100000000010000111100000000001100000000000000, 1
0000000000000011000000000011110111110111101100000010000111101000000001100000000000000, 4
0000000000000011000000000011111000000001000000000000000111100000000000000000000000000, 5
0000000000000011000000000011111000000001000000000000000111101000000000000110010000000, 156
0000000000000011000000000011111000000001100000000000000111101000000000000110010000000, 161
0000000000000011000000000011111000000010100000000001000011100000000000000000000000000, 1
0000000000000011000000000011111000110101100000000010000111100000000000000000000000000, 28
0000000000000011000000000011111000110101100000000010000111100000000000001111110111010, 86
0000000000000011000000000011111000110101100000000010000111100000000001000000000000000, 1
0000000000000011000000000011111000110101100000000010000111101000000000001111110111010, 772
0000000000000011000000000011111000110111100000000010000111100000000001000000000000000, 4
0000000000000011000000000011111000110111100000000010000111101000000000001111110111000, 11
0000000000000011000000000011111000110111100000000010000111110000000001000000000000000, 1
0000000000000011000000000011111000110111100000000010111111101000000011101111111111010, 168
0000000000000011000000000011111000110111100000000011000111100000000001000000000000000, 1
0000000000000011000000000011111110110101100000000000000110000001110010001111010000000, 1
0000000000000011000000000011111110110101100000000000000111101001110011001111010000000, 1
0000000000000011000000000011111110110101100000000001000111100001110011000000000000000, 7
0000000000000011000000000011111110110101100000000001000111101001110011000000000000000, 1
0000000000000011000000000011111110110101100000000001000111101001110011001111010000000, 331
0000000000000011000000000011111110110101100000000010000111101001110011001111010000000, 10
0000000000000011000000000011111110110101100000000011000011100001110011000000000000000, 1
