ifds_ApertureValue ,Count
5545/1000, 8
555661376/134217728, 1
556784/65536, 8
557/100, 213
557056/65536, 1
5573/1000, 2
5574/1000, 2
558/100, 3
559/100, 1
56/10, 127
560/100, 590
5600000/1000000, 1
561/100, 1565
5615/1000, 1651
562/100, 2
5625000/1000000, 3
563/100, 1
5643/1000, 6
565/100, 1029
565248/65536, 414
5655638/1000000, 84
5655639/1000000, 1
5656/1000, 27
565625/100000, 1
566/100, 186
566484/65536, 215
567/100, 66
5678/1000, 9
568/100, 1
569/100, 18
5695/1000, 17
5696/1000, 2
57/10, 395
57/25, 1
570/100, 637
573/100, 70
5735/1000, 46
5736/1000, 24
574/100, 4
575/100, 2
576/100, 1
577/100, 4
577136256/134217728, 1
5775/1000, 9
578/100, 11
579/100, 1
5797/1000, 4
58/10, 19
580/100, 144
581/100, 240
581162752/134217728, 34
583/100, 2
583680/65536, 1
584507/65536, 403
585/100, 9
5851/1000, 2
5852/1000, 57
588/100, 39
5882/1000, 6
589/100, 61
5890/1000, 16
589824/65536, 751
589825/131072, 5
59/10, 49
59/8, 1
590/100, 53
5908/1000, 2
59158/10000, 1
592/100, 80
5926/1000, 121
5927/1000, 12
593/100, 1
5947/1000, 5
595/100, 3
596/100, 26
5964/1000, 5
598/100, 48
6/1, 449
6/2, 3
60/10, 763
600/100, 3021
6000/1000, 162
6000000/1000000, 2
601/100, 7
6010/1000, 19
6012/1000, 5
603/100, 15
603979776/134217728, 30
607/100, 10
6072/1000, 1
6084/2048, 6
608680/65536, 52
6090/1000, 4
61/10, 19
61/8, 2
610/100, 119
6106/1000, 33
611/100, 63
614/100, 207
614400/65536, 79
617/100, 21
6172/1000, 9
6174/1000, 1
6175/1000, 5
6176/1000, 9
62/10, 101
620/100, 213
621/100, 54
622/100, 4
623/100, 1
6231897/2097152, 88
6232/1909, 3
623233/65536, 29
624/100, 28
625/100, 2
6262/1000, 8
627/100, 66
6274/1000, 6
6275/1000, 1
628/100, 63
63/10, 86
630/100, 443
6307/1000, 8
630784/65536, 99
631/100, 454
633/100, 36
6339/1000, 2
6339843/1000000, 1
633984375/100000000, 1
633985/100000, 50
634/100, 76
6340/1000, 21
635/100, 4
6358/1000, 7
636/100, 4
63626/65536, 305
636745/65536, 85
637/100, 103
6375000/1000000, 1
64/10, 121
64/12, 4
64/32, 2172
640/100, 14
6403/1000, 2
642/100, 1
643/100, 124
6433/1000, 7
645/100, 17
6456/1000, 4
646/100, 6
6466/1000, 1
647/100, 5
6472/2693, 6
649/100, 4
6496/1000, 5
65/10, 256
650/100, 59
652/100, 35
6525/1000, 2
6526/1000, 6
6545/1000, 1
655/100, 9
65536/65536, 665
655360/65536, 163
6556/1000, 5
65575/3211267, 77
656/100, 12
658/100, 23
6586/1000, 7
659/100, 1
66/10, 72
660/100, 219
661/100, 127
6613/1000, 7
6614/1000, 26
6615/1000, 1
662/100, 23
664/100, 125
6643856/1000000, 29
6643859/1000000, 1
664385986/100000000, 1
6644/1000, 2
666/100, 15
666894336/134217728, 2
667/100, 6
667176960/134217728, 1
6673/1000, 2
67/10, 339
67/12, 1
67/20, 1
67/8, 8
670/100, 4
6701/1000, 26
671088640/134217728, 9
673/100, 1
67324/15513, 2
675/100, 2
6756/1000, 6
6757/1000, 31
676/100, 14
677632/65536, 24
6784/1000, 2
679/100, 9
679936/65536, 31
68/10, 12
680/100, 3
681/100, 32
683/100, 1
6837/1000, 3
686/100, 7
6866/1000, 1
687/100, 21
687856/65536, 1
688/100, 1
688128/65536, 1
689/100, 3
69/10, 32
69/12, 1
69/25, 94
69/8, 4
690/100, 223
690625/100000, 1
691/100, 47
6918863/1000000, 46
692/100, 100
694/100, 9
6943/1000, 1
696/100, 12
696320/65536, 2
699/100, 2
6996/1000, 4
7/1, 12
7/2, 1
7/5, 8
70/10, 17
700/100, 100
704/100, 11
707/100, 6
7072/1000, 2
71/10, 2
71/12, 1
710/100, 3
711353984/134217728, 2
712/100, 94
7121/1000, 1
714/100, 8
717/100, 13
719828/65536, 1
72/10, 6
72/12, 1
720/100, 47
724/100, 7
724/256, 114
726/100, 31
729/100, 10
7297/2500, 2
73/10, 7
73/32, 450
730/100, 2
731/100, 12
733/100, 11
7356/1000, 2
738/100, 18
738263040/1677721600, 1
74/10, 21
740/100, 88
7400879/1000000, 8
742/100, 22
7427/2500, 8
749/100, 1
75/10, 3
750/100, 28
751619264/134217728, 2
7530/1000, 3
755/100, 5
7552/1000, 1
757/100, 6
76/10, 20
760/100, 43
760/256, 1436
761/100, 2
761471/100000, 9
7614715/1000000, 1
763/100, 1
764/100, 3
769/100, 3
77/10, 2
77/16, 1
77/20, 1
770/256, 41
773/256, 2
78/10, 3
780/256, 448
7801/3429, 660
781/100, 2
783/100, 3
783/256, 116
785/256, 28
787/100, 1
7892/3469, 317
79/12, 1
79/25, 2
791/256, 5
793/256, 18
7944/1000, 3
7961/8200, 2
798/256, 2
7983/3509, 12816
8/1, 21
80/10, 66
800/100, 488
80053/12102, 1
801/256, 10
803/256, 3
8035/1000, 6
804/100, 3
805306368/134217728, 1
806/256, 3
807/100, 2
8074/3549, 52
808/256, 12
809/256, 21
81/16, 5
81/32, 79
814/256, 3
815/256, 5
816/256, 9
8194/100, 5
821/256, 3
824/256, 6
826/256, 1
828/100, 11
829/100, 2
83/12, 2
830/100, 15
830/256, 2
8307/1000, 1
832/256, 2
833985/100000, 1
834/256, 5
84/25, 3
844/256, 4
85/32, 368
86/25, 3
860/100, 1
862/256, 3
864/100, 2
8643856/1000000, 1
8681/1918, 4
87/25, 1
870/256, 25
874/256, 3
876/256, 1
88/32, 5960
887/256, 1
88876/65536, 53
89/10, 2
890/100, 7
890/256, 5
891723776/134217728, 2
8918863/1000000, 9
8918869/1000000, 1
896/256, 8
898/256, 1
9/1, 1
9/2, 1
90/10, 1
90/32, 170
900/100, 6
900/256, 4
90112/65536, 137
906/100, 1
909/256, 4
91/40, 27
914/256, 1
917504/327680, 4
92/12, 1
92/32, 3907
928/256, 14
9287712/1000000, 4
929/256, 4
9297/2002, 5
93/32, 223
933/100, 1
936/256, 18
937/256, 1
938/256, 1
944/256, 3
947/256, 133
95/10, 4
95/100, 9
95/32, 62484
952/256, 5
958/256, 5
96/32, 8
960/256, 2
963/256, 3
964/256, 1
966/100, 1
968/256, 1
97/100, 6
970/256, 1
970854/1000000, 1
977/256, 8
98/32, 314
981/256, 1
98350/15513, 1
99/25, 1
