ifds_SubjectDistance ,Count
530/1000, 4
531/1000, 2
5314/1000, 1
5315/1000, 5
532/1000, 3
5329/1000, 3
5330/1000, 1
535/1000, 1
536/1000, 1
539/1000, 7
5393/1000, 1
54/100, 2
540/1000, 1
541/1000, 3
5411/1000, 1
5413/1000, 7
542/1000, 1
543/1000, 1
5432/1000, 5
546/1000, 18
5468/1000, 1
5472/1000, 1
548/1000, 2
549/1000, 2
5498/1000, 1
550/1000, 3
5502/1000, 4
552/1000, 1
553/1000, 5
5539/1000, 1
554/1000, 1
555/100, 12
555/1000, 2
556/1000, 1
557/1000, 28
56/100, 4
56/1000, 1
560/1000, 3
562/1000, 4
5624/1000, 4
5628/1000, 2
564/1000, 1
565/1000, 3
568/1000, 8
569/100, 2
569/1000, 3
5692/1000, 5
57/100, 2
570/1000, 3
5726/1000, 1
573/1000, 2
5733/1000, 1
5739/1000, 1
575/100, 3
575/1000, 16
576/1000, 2
5760/1000, 2
577/1000, 3
578/1000, 1
58/100, 1
580/1000, 12
5819/1000, 1
582/1000, 4
583/1000, 3
5830/1000, 8
5833/1000, 1
585/1000, 1
587/1000, 2
588/100, 5
589/1000, 1
590/1000, 2
592/1000, 7
593/1000, 72
594/1000, 1
5945/1000, 2
5952/1000, 1
596/100, 1
596/1000, 1
598/1000, 1
60/100, 1
600/100, 1
601/100, 2
6010/1000, 10
6024/1000, 1
603/1000, 4
604/1000, 1
605/1000, 2
6053/1000, 10
606/1000, 6
6073/1000, 1
608/1000, 1
609/1000, 4
610/1000, 2
611/1000, 2
612/1000, 22
613/1000, 2
6176/1000, 2
618/100, 2
618/1000, 9
619/1000, 10
6198/1000, 1
62/100, 1
620/1000, 2
6202/1000, 3
6206/1000, 1
621053/1000, 1
622/1000, 1
62296/1000, 1
624/1000, 2
625/100, 9
625/1000, 1
6250/1000, 1
6253/1000, 3
627/1000, 3
628/100, 2
628/1000, 11
6293/1000, 5
63/100, 2
63/50, 1
630/1000, 1
631/1000, 5
632/1000, 1
6321/1000, 3
633/1000, 1
633685/1000, 1
634/1000, 33
6366/1000, 1
637/1000, 2
638/1000, 2
6389/1000, 8
639/1000, 1
64/100, 2
640/1000, 1
6403/1000, 1
6411/1000, 4
643/1000, 2
647/1000, 1
6477/1000, 1
648/100, 1
648/1000, 3
6487/1000, 1
649/1000, 12
65/100, 1
650/100, 1
650/1000, 1
6509/1000, 1
651/1000, 1
652/1000, 11
653/1000, 1
654/100, 1
654/1000, 1
6553/100, 58
6553/1000, 2
65535/100, 16
65535/1000, 1053
655350/1000, 4
656/1000, 4
658/1000, 2
6583/1000, 1
660/1000, 2
661/1000, 1
662/1000, 10
6622/1000, 1
663/1000, 1
664/1000, 3
6646/1000, 7
6647/1000, 5
665/1000, 1
666/100, 7
666/1000, 2
667/1000, 1
6682/1000, 1
672/1000, 1
674/1000, 2
675/1000, 2
6752/1000, 9
6753/1000, 1
677895/1000, 1
68/100, 3
680/1000, 1
681/1000, 54
6835/1000, 7
684/1000, 1
685/100, 6
6855/1000, 4
686/1000, 1
687/1000, 1
688/1000, 9
69/100, 1
690/1000, 3
690988/1000, 1
692/1000, 1
693/1000, 5
694/1000, 1
6966/1000, 1
698/1000, 8
699/1000, 3
70/100, 2
70/1000, 4
700/100, 4
700/1000, 1
7005/1000, 1
704/1000, 2
7052/1000, 25
706/1000, 1
707/1000, 1
708/1000, 1
7082/1000, 1
7096/1000, 2
710/1000, 16
7110/1000, 1
7115/1000, 2
7122/1000, 1
714/100, 11
714/1000, 2
7144/1000, 5
716/1000, 17
717/1000, 1
7178/1000, 2
719/1000, 2
720/1000, 1
721/1000, 1
722/1000, 2
723/1000, 2
724/1000, 1
728/1000, 7
73/100, 3
731/1000, 1
731579/1000, 1
732/1000, 3
733/1000, 2
734/1000, 7
736/1000, 5
737/1000, 2
738/1000, 1
